							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	3	33	100	0.5	0.66	00:00:00.00	00:00:00.00	NaN	NaN	
	10	4	33	100	0.0	0.0	00:00:00.00	00:00:00.00	NaN	NaN	
	10	4	33	100	0.5	0.33	00:00:00.00	00:00:00.00	NaN	NaN	
	10	3	33	100	0.5	1.0	00:35:19.00	00:33:06.00	-6.276545540349221	6.696878147029205	
	10	4	33	100	1.0	0.66	00:00:00.00	00:00:00.00	NaN	NaN	
	10	3	33	100	1.0	0.33	00:00:00.00	00:00:00.00	NaN	NaN	

AVG OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	4	33		1.0	1.0	00:00:00.00	00:00:00.00	NaN	NaN	
	10	3	33		0.5	0.33	00:00:00.00	00:00:00.00	NaN	NaN	
	10	4	33		0.5	1.0	00:05:38.00	00:05:38.00	0.0	0.0	
	10	3	33		1.0	0.66	00:00:00.00	00:00:00.00	NaN	NaN	
	10	3	33		1.0	1.0	00:00:00.00	00:00:00.00	NaN	NaN	
	10	3	33		0.0	0.0	00:00:00.00	00:00:00.00	NaN	NaN	
	10	4	33		1.0	0.33	00:00:00.00	00:00:00.00	NaN	NaN	
	10	4	33		0.5	0.66	00:00:00.00	00:00:00.00	NaN	NaN	
	10	3	33		0.5	0.66	00:00:00.00	00:00:00.00	NaN	NaN	
	10	4	33		0.0	0.0	00:00:00.00	00:00:00.00	NaN	NaN	
	10	4	33		0.5	0.33	00:00:00.00	00:00:00.00	NaN	NaN	
	10	3	33		0.5	1.0	00:35:19.00	00:33:06.00	-6.276545540349221	6.696878147029205	
	10	4	33		1.0	0.66	00:00:00.00	00:00:00.00	NaN	NaN	
	10	3	33		1.0	0.33	00:00:00.00	00:00:00.00	NaN	NaN	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	4	33	100	1.0	1.0	0	0	NaN	NaN	
	10	3	33	100	0.5	0.33	0	0	NaN	NaN	
	10	4	33	100	0.5	1.0	2	2	0.0	0.0	
	10	3	33	100	1.0	0.66	0	0	NaN	NaN	
	10	3	33	100	1.0	1.0	0	0	NaN	NaN	
	10	3	33	100	0.0	0.0	0	0	NaN	NaN	
	10	4	33	100	1.0	0.33	0	0	NaN	NaN	
	10	4	33	100	0.5	0.66	0	0	NaN	NaN	
	10	3	33	100	0.5	0.66	0	0	NaN	NaN	
	10	4	33	100	0.0	0.0	0	0	NaN	NaN	
	10	4	33	100	0.5	0.33	0	0	NaN	NaN	
	10	3	33	100	0.5	1.0	4	4	0.0	0.0	
	10	4	33	100	1.0	0.66	0	0	NaN	NaN	
	10	3	33	100	1.0	0.33	0	0	NaN	NaN	

AVG TIME WINDOWS OVERRUN
