							ACO_F1=1_F2=50_Sync=100					ACO_F1=1_F2=50_Sync=1000					ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					ACO_F1=50_F2=1_Sync=100					ACO_F1=50_F2=1_Sync=1000					ACO_F1=5_F2=1_Sync=100					ACO_F1=5_F2=1_Sync=1000					ACO_F1=F2=1_Sync=100					ACO_F1=F2=1_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	42	200	0.5	0.33	13219.75	00:31:02.00	6	00:00:09.38	00:00:36.58	12905.583	00:32:13.00	7	00:05:45.98	00:06:08.57	12228.055	00:15:23.00	4	00:00:10.48	00:00:36.15	12228.055	00:15:23.00	4	00:05:05.23	00:05:27.63	11629.368	00:14:03.00	4	00:00:12.62	00:00:37.57	11629.368	00:14:03.00	4	00:07:38.95	00:08:00.39	11629.368	00:14:05.00	4	00:00:12.39	00:00:36.72	11629.368	00:14:03.00	4	00:00:11.97	00:00:35.91	12228.055	00:15:23.00	4	00:00:10.00	00:00:34.87	12228.055	00:15:23.00	4	00:05:04.57	00:05:28.83	
	10	2	42	300	0.5	0.33	13219.75	00:31:02.00	6	00:00:09.38	00:00:36.60	12905.583	00:32:13.00	7	00:05:43.82	00:06:10.26	12773.187	00:16:27.00	5	00:00:11.75	00:00:39.44	12228.055	00:15:23.00	4	00:05:05.46	00:05:31.23	11565.494	00:18:29.00	4	00:00:13.77	00:00:39.32	11629.368	00:14:03.00	4	00:07:33.63	00:07:54.94	11629.368	00:14:05.00	4	00:00:11.59	00:00:34.68	11565.494	00:18:29.00	4	00:00:13.45	00:00:38.67	12773.187	00:16:27.00	5	00:00:11.77	00:00:39.62	12228.055	00:15:23.00	4	00:05:03.15	00:05:29.86	
	10	3	42	300	0.0	0.0	13190.777	00:02:17.00	3	00:00:24.94	00:00:53.67	12974.849	00:01:31.00	2	00:23:17.26	00:23:41.11	12786.852	00:00:00.00	0	00:00:20.55	00:00:45.90	13516.243	00:00:00.00	0	00:33:36.07	00:34:00.70	12204.388	00:00:16.00	1	00:00:22.21	00:00:49.36	11803.592	00:09:13.00	2	00:33:32.92	00:33:54.90	12367.301	00:01:03.00	1	00:00:23.06	00:00:50.65	12204.388	00:00:16.00	1	00:00:21.76	00:00:49.05	12786.852	00:00:00.00	0	00:00:21.34	00:00:47.68	13516.243	00:00:00.00	0	00:34:07.63	00:34:32.35	
	10	4	42	300	0.5	0.66	13616.339	00:00:00.00	0	00:00:16.81	00:00:47.00	13635.64	00:00:00.00	0	00:04:31.19	00:04:56.99	12939.598	00:00:00.00	0	00:00:17.55	00:00:47.35	13527.923	00:00:00.00	0	00:04:17.09	00:04:42.57	13057.914	00:00:00.00	0	00:00:18.61	00:00:47.36	11946.853	00:09:13.00	2	00:12:13.40	00:12:35.48	12997.187	00:00:00.00	0	00:00:17.43	00:00:46.51	13057.914	00:00:00.00	0	00:00:18.91	00:00:47.85	12939.598	00:00:00.00	0	00:00:17.29	00:00:46.76	13527.923	00:00:00.00	0	00:04:16.43	00:04:41.77	
	10	2	42	500	1.0	0.66	13522.695	00:24:19.00	8	00:00:05.45	00:00:34.49	13374.459	00:25:55.00	8	00:00:46.90	00:01:14.34	13671.521	00:25:02.00	8	00:00:05.45	00:00:32.55	13522.695	00:24:19.00	8	00:00:47.94	00:01:12.25	11800.705	00:18:25.00	4	00:00:08.55	00:00:34.45	11852.348	00:13:59.00	4	00:02:27.08	00:02:48.13	11800.705	00:18:25.00	4	00:00:07.77	00:00:32.39	11800.705	00:18:25.00	4	00:00:08.40	00:00:34.00	13671.521	00:25:02.00	8	00:00:05.86	00:00:34.58	13522.695	00:24:19.00	8	00:00:48.94	00:01:18.44	
	10	3	42	300	1.0	0.33	13126.581	00:01:29.00	2	00:00:16.90	00:00:45.65	12931.25	00:01:02.00	2	00:06:28.51	00:06:52.36	12447.127	00:01:48.00	2	00:00:16.49	00:00:44.87	13417.233	00:00:00.00	0	00:07:36.68	00:08:00.93	12043.801	00:09:04.00	2	00:00:22.78	00:00:50.32	11852.218	00:09:13.00	2	00:13:14.55	00:13:36.93	12367.301	00:01:03.00	1	00:00:13.41	00:00:36.48	12043.801	00:09:04.00	2	00:00:23.14	00:00:51.14	12447.127	00:01:48.00	2	00:00:15.64	00:00:43.30	13417.233	00:00:00.00	0	00:07:35.59	00:07:59.35	
	10	4	42	300	1.0	0.33	13524.017	00:00:00.00	0	00:00:19.41	00:00:48.92	13636.888	00:00:00.00	0	00:10:54.56	00:11:19.76	13849.884	00:00:00.00	0	00:00:37.82	00:01:08.05	13467.449	00:00:00.00	0	00:13:13.85	00:13:39.10	13195.719	00:00:00.00	0	00:00:20.49	00:00:44.93	11846.742	00:09:13.00	2	00:16:43.85	00:17:06.55	13201.942	00:00:00.00	0	00:00:26.22	00:00:54.15	13195.719	00:00:00.00	0	00:00:24.99	00:00:55.18	13849.884	00:00:00.00	0	00:00:37.56	00:01:07.64	13467.449	00:00:00.00	0	00:13:16.97	00:13:41.47	
	10	3	42	500	1.0	1.0	14132.888	00:00:49.00	3	00:00:02.78	00:00:30.67	14132.888	00:00:49.00	3	00:00:03.60	00:00:32.44	14132.888	00:00:49.00	3	00:00:02.92	00:00:31.70	14132.888	00:00:49.00	3	00:00:03.66	00:00:32.86	13235.605	00:04:44.00	4	00:00:02.93	00:00:30.38	13235.605	00:04:44.00	4	00:00:04.15	00:00:32.98	13607.267	00:00:47.00	3	00:00:02.91	00:00:30.50	13235.605	00:04:44.00	4	00:00:02.77	00:00:29.27	14132.888	00:00:49.00	3	00:00:02.95	00:00:31.84	14132.888	00:00:49.00	3	00:00:03.60	00:00:32.59	
	10	4	42	200	1.0	0.66	13890.155	00:00:00.00	0	00:00:07.62	00:00:36.26	13927.767	00:00:00.00	0	00:00:41.56	00:01:09.26	13172.204	00:00:00.00	0	00:00:09.63	00:00:38.76	13857.457	00:00:00.00	0	00:02:36.34	00:03:01.82	13179.534	00:00:00.00	0	00:00:13.25	00:00:42.52	13179.534	00:00:00.00	0	00:06:07.13	00:06:31.98	13129.212	00:00:00.00	0	00:00:09.52	00:00:39.62	13179.534	00:00:00.00	0	00:00:13.37	00:00:43.13	13172.204	00:00:00.00	0	00:00:08.32	00:00:34.69	13857.457	00:00:00.00	0	00:02:55.15	00:03:21.09	
	10	3	42	200	1.0	0.33	12947.503	00:01:02.00	2	00:00:14.48	00:00:42.84	12931.25	00:01:02.00	2	00:06:27.09	00:06:52.22	13587.182	00:00:00.00	0	00:00:17.63	00:00:44.86	13398.691	00:00:00.00	0	00:07:26.67	00:07:56.30	12977.621	00:00:11.00	1	00:00:19.83	00:00:49.02	11852.218	00:09:13.00	2	00:13:17.87	00:13:40.00	12876.797	00:00:00.00	0	00:00:18.82	00:00:47.96	12977.621	00:00:11.00	1	00:00:20.20	00:00:49.59	13587.182	00:00:00.00	0	00:00:19.71	00:00:50.33	13398.691	00:00:00.00	0	00:07:29.69	00:07:54.50	
