FILE	DISTANCE	OVERSPENT TIME	OVERRUN TW
AVERAGE	6071.639	00:23:11.00	8

xml/results/10missions/3vehicles/deploymentGreedy_1_200_0,75_0,5.d2cts	7567.676	00:08:36.00	5
AVERAGE	7567.676	00:09:36.00	5

xml/results/10missions/3vehicles/deploymentACO_F1=1|F2=5_1_100_1_1.d2cts	8311.859	00:07:04.00	4
AVERAGE	8311.859	00:08:04.00	4

xml/results/10missions/3vehicles/deploymentACO_F1=F2=1_1_200_0_0.d2cts	7458.199	00:04:11.00	4
AVERAGE	7458.199	00:05:11.00	4

xml/results/10missions/2vehicles/deploymentACO_F1=F2=1_1_200_0_0.d2cts	6830.957	00:18:07.00	8
AVERAGE	6830.957	00:19:07.00	8

xml/results/10missions/2vehicles/deploymentACO_F1=F2=1_1_200_1_1.d2cts	7298.471	00:35:20.00	9
AVERAGE	7298.471	00:36:20.00	9

xml/results/10missions/2vehicles/deploymentGreedy_1_200_0,75_1.d2cts	7099.667	01:10:43.00	11
AVERAGE	7099.667	01:11:43.00	11

xml/results/10missions/2vehicles/deploymentACO_F1=1|F2=5_1_100_0_0.d2cts	6570.846	00:30:52.00	7
AVERAGE	6570.846	00:31:52.00	7

xml/results/10missions/2vehicles/deploymentGreedy_1_100_1_1.d2cts	8017.876	00:24:44.00	7
AVERAGE	8017.876	00:25:44.00	7

xml/results/10missions/2vehicles/deploymentGreedy_1_100_0,75_1.d2cts	7099.667	01:10:43.00	11
AVERAGE	7099.667	01:11:43.00	11

xml/results/10missions/2vehicles/deploymentACO_F1=F2=1_1_200_0,75_0,5.d2cts	6814.513	00:20:20.00	6
AVERAGE	6814.513	00:21:20.00	6

xml/results/10missions/3vehicles/deploymentACO_F1=F2=1_1_200_1_1.d2cts	8311.859	00:07:04.00	4
AVERAGE	8311.859	00:08:04.00	4

xml/results/10missions/3vehicles/deploymentACO_F1=1|F2=5_1_200_0_0.d2cts	7458.199	00:04:11.00	4
AVERAGE	7458.199	00:05:11.00	4

xml/results/10missions/3vehicles/deploymentACO_F1=1|F2=5_1_200_1_1.d2cts	8311.859	00:07:04.00	4
AVERAGE	8311.859	00:08:04.00	4

xml/results/10missions/2vehicles/deploymentACO_F1=1|F2=5_1_200_1_1.d2cts	7746.78	00:30:02.00	7
AVERAGE	7746.78	00:31:02.00	7

xml/results/10missions/3vehicles/deploymentGreedy_1_100_0,75_1.d2cts	7863.696	00:17:43.00	7
AVERAGE	7863.696	00:18:43.00	7

xml/results/10missions/3vehicles/deploymentGreedy_1_100_1_0,5.d2cts	7491.229	00:02:57.00	5
AVERAGE	7491.229	00:03:57.00	5

xml/results/10missions/2vehicles/deploymentGreedy_1_100_0_0.d2cts	6656.982	00:18:31.00	6
AVERAGE	6656.982	00:19:31.00	6

xml/results/10missions/2vehicles/deploymentACO_F1=1|F2=5_1_100_1_0,5.d2cts	6864.964	00:18:01.00	8
AVERAGE	6864.964	00:19:01.00	8

xml/results/10missions/2vehicles/deploymentGreedy_1_200_1_1.d2cts	8017.876	00:24:44.00	7
AVERAGE	8017.876	00:25:44.00	7

xml/results/10missions/2vehicles/deploymentACO_F1=F2=1_1_200_0,75_1.d2cts	6288.631	00:33:00.00	10
AVERAGE	6288.631	00:34:00.00	10

xml/results/10missions/3vehicles/deploymentACO_F1=F2=1_1_100_0,75_0,5.d2cts	7296.464	00:07:02.00	2
AVERAGE	7296.464	00:08:02.00	2

