							Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	42	500	0.0	0.0	12071.177	00:11:37.00	4	00:01:01.75	00:01:27.61	
	10	4	42	500	1.0	0.33	13277.948	00:00:00.00	0	00:00:40.36	00:01:10.87	
	10	3	42	300	1.0	0.66	12942.247	00:00:00.00	0	00:00:33.65	00:01:04.02	
	10	2	42	300	1.0	0.66	12305.542	00:09:01.00	4	00:00:34.99	00:01:01.84	
	10	4	42	100	0.5	1.0	12884.469	00:08:00.00	3	00:00:35.79	00:01:03.34	
	10	3	42	400	1.0	0.33	13252.319	00:00:00.00	0	00:00:38.82	00:01:09.52	
	10	2	42	500	0.5	1.0	12455.383	00:24:02.00	8	00:00:40.65	00:01:07.10	
	10	2	42	100	0.5	0.66	12614.08	00:57:07.00	11	00:00:51.10	00:01:18.78	
	10	4	42	100	0.5	0.33	12170.424	00:00:00.00	0	00:00:41.29	00:01:08.06	
	10	3	42	200	0.5	0.33	11952.2	00:06:29.00	2	00:00:47.73	00:01:15.61	
	10	4	42	100	1.0	0.33	13277.948	00:00:00.00	0	00:00:37.24	00:01:07.52	
	10	4	42	500	0.0	0.0	12569.508	00:00:00.00	0	00:00:53.10	00:01:20.55	
	10	2	42	100	0.5	0.33	12723.649	00:14:39.00	4	00:00:45.60	00:01:13.03	
	10	4	42	400	1.0	0.66	12731.424	00:00:00.00	0	00:00:36.58	00:01:07.31	
	10	3	42	300	0.5	0.33	11952.2	00:06:29.00	2	00:00:49.05	00:01:17.12	
	10	3	42	500	0.5	1.0	12297.007	00:07:57.00	3	00:00:38.03	00:01:04.70	
	10	2	42	100	1.0	0.33	12614.472	00:09:06.00	4	00:00:41.33	00:01:09.40	
	10	3	42	100	0.5	0.66	12009.718	00:19:15.00	6	00:00:40.97	00:01:06.77	
	10	3	42	300	0.5	0.66	12009.718	00:19:15.00	6	00:00:42.08	00:01:08.34	
	10	4	42	500	0.5	1.0	12884.469	00:08:00.00	3	00:00:40.54	00:01:10.40	
	10	2	42	400	1.0	0.66	12305.542	00:09:01.00	4	00:00:35.89	00:01:03.23	
