							ACO_F1=1_F2=50_Sync=100					ACO_F1=1_F2=50_Sync=1000					ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					ACO_F1=50_F2=1_Sync=100					ACO_F1=50_F2=1_Sync=1000					ACO_F1=5_F2=1_Sync=100					ACO_F1=5_F2=1_Sync=1000					ACO_F1=F2=1_Sync=100					ACO_F1=F2=1_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	21	100	0.5	0.33	7955.782	00:01:06.00	2	00:00:13.58	00:00:32.74	7942.876	00:01:05.00	3	00:06:37.70	00:06:59.56	7961.223	00:01:01.00	2	00:00:15.88	00:00:38.42	7997.916	00:00:00.00	0	00:06:43.12	00:07:05.04	7237.183	00:01:16.00	2	00:00:21.49	00:00:42.48	6708.108	00:17:20.00	9	00:07:43.47	00:08:03.88	7997.916	00:00:00.00	0	00:00:15.68	00:00:37.68	7237.183	00:01:16.00	2	00:00:21.48	00:00:42.42	7961.223	00:01:01.00	2	00:00:12.91	00:00:31.96	7997.916	00:00:00.00	0	00:06:39.00	00:06:56.15	
	10	4	21	100	1.0	0.66	7868.304	00:01:11.00	2	00:00:07.35	00:00:30.15	7845.528	00:00:49.00	2	00:01:08.12	00:01:29.52	7754.289	00:00:00.00	0	00:00:06.28	00:00:25.17	7759.831	00:00:00.00	0	00:02:03.62	00:02:25.26	6685.063	00:15:33.00	9	00:00:13.03	00:00:32.53	6669.753	00:15:32.00	9	00:04:33.84	00:04:53.31	7449.633	00:00:00.00	0	00:00:08.78	00:00:28.10	6685.063	00:15:33.00	9	00:00:12.33	00:00:31.25	7754.289	00:00:00.00	0	00:00:06.44	00:00:25.82	7759.831	00:00:00.00	0	00:02:02.71	00:02:23.22	
	10	4	21	300	0.0	0.0	7990.869	00:01:11.00	2	00:00:11.73	00:00:33.43	7969.484	00:00:46.00	2	00:07:31.73	00:07:49.98	7977.217	00:01:01.00	2	00:00:10.13	00:00:30.06	7874.988	00:00:00.00	0	00:06:26.32	00:06:44.27	6591.357	00:15:23.00	9	00:00:14.42	00:00:32.11	6591.357	00:16:01.00	9	00:13:46.48	00:14:02.44	7381.694	00:00:00.00	0	00:00:14.46	00:00:34.06	6591.357	00:15:23.00	9	00:00:14.07	00:00:31.26	7977.217	00:01:01.00	2	00:00:11.27	00:00:33.30	7874.988	00:00:00.00	0	00:06:25.74	00:06:44.48	
	10	4	21	500	0.5	0.33	7951.443	00:01:11.00	2	00:00:17.00	00:00:38.84	7942.876	00:00:46.00	2	00:07:19.51	00:07:38.93	7961.223	00:01:01.00	2	00:00:15.05	00:00:36.64	7997.916	00:00:00.00	0	00:07:16.10	00:07:33.97	6593.815	00:15:26.00	9	00:00:20.77	00:00:40.37	6677.12	00:16:01.00	9	00:13:11.85	00:13:28.01	7375.955	00:00:00.00	0	00:00:19.95	00:00:41.23	6593.815	00:15:26.00	9	00:00:20.56	00:00:40.13	7961.223	00:01:01.00	2	00:00:15.45	00:00:37.78	7997.916	00:00:00.00	0	00:07:08.93	00:07:27.54	
	10	4	21	500	1.0	0.66	7857.503	00:01:06.00	2	00:00:07.19	00:00:29.39	7845.528	00:00:49.00	2	00:01:06.70	00:01:27.01	7750.863	00:00:00.00	0	00:00:07.38	00:00:29.46	8092.959	00:08:14.00	2	00:04:30.38	00:04:51.15	6683.739	00:15:33.00	9	00:00:12.48	00:00:31.34	6669.753	00:15:32.00	9	00:04:49.51	00:05:05.84	7452.986	00:00:00.00	0	00:00:09.44	00:00:29.81	6683.739	00:15:33.00	9	00:00:12.00	00:00:30.29	7750.863	00:00:00.00	0	00:00:06.92	00:00:28.03	8092.959	00:08:14.00	2	00:04:29.14	00:04:47.99	
	10	4	21	400	1.0	0.66	7523.104	00:07:02.00	2	00:00:10.41	00:00:31.18	7852.129	00:00:46.00	2	00:00:59.29	00:01:19.19	7754.289	00:00:00.00	0	00:00:06.75	00:00:27.13	8061.597	00:08:07.00	2	00:04:21.62	00:04:39.46	7010.443	00:15:26.00	8	00:00:14.40	00:00:33.70	6685.063	00:15:33.00	9	00:05:08.43	00:05:24.81	7452.986	00:00:00.00	0	00:00:08.68	00:00:29.16	7010.443	00:15:26.00	8	00:00:14.26	00:00:33.33	7754.289	00:00:00.00	0	00:00:06.70	00:00:27.03	8061.597	00:08:07.00	2	00:04:20.46	00:04:40.38	
	10	4	21	100	0.5	1.0	8413.342	00:00:49.00	2	00:00:06.90	00:00:28.93	8396.018	00:00:49.00	2	00:00:42.69	00:01:04.52	8413.342	00:00:49.00	2	00:00:06.94	00:00:29.19	8396.018	00:00:49.00	2	00:00:42.79	00:01:04.89	7113.571	00:16:12.00	9	00:00:11.82	00:00:31.04	7164.833	00:15:29.00	9	00:04:50.49	00:05:10.06	8043.861	00:00:00.00	0	00:00:08.84	00:00:28.18	7113.571	00:16:12.00	9	00:00:11.58	00:00:30.36	8413.342	00:00:49.00	2	00:00:06.88	00:00:28.86	8396.018	00:00:49.00	2	00:00:43.32	00:01:05.03	
	10	4	21	400	0.5	0.33	7918.203	00:01:06.00	2	00:00:16.10	00:00:37.87	7942.876	00:00:46.00	2	00:07:21.22	00:07:40.33	7916.93	00:01:01.00	2	00:00:16.01	00:00:37.41	7997.916	00:00:00.00	0	00:07:09.20	00:07:27.48	6591.357	00:15:23.00	9	00:00:19.83	00:00:38.67	6708.108	00:17:20.00	9	00:08:14.16	00:08:31.20	7381.694	00:00:00.00	0	00:00:19.21	00:00:39.59	6591.357	00:15:23.00	9	00:00:20.33	00:00:39.58	7916.93	00:01:01.00	2	00:00:15.75	00:00:36.87	7997.916	00:00:00.00	0	00:07:05.86	00:07:27.67	
	10	4	21	300	0.5	0.33	7941.077	00:01:06.00	2	00:00:18.26	00:00:41.30	7942.876	00:01:05.00	3	00:06:31.63	00:06:50.91	7961.223	00:01:01.00	2	00:00:15.00	00:00:36.56	7997.916	00:00:00.00	0	00:07:08.54	00:07:27.19	6680.849	00:13:56.00	7	00:00:17.95	00:00:38.28	6708.108	00:17:20.00	9	00:08:15.56	00:08:31.83	7879.226	00:00:00.00	0	00:00:15.02	00:00:35.56	6680.849	00:13:56.00	7	00:00:16.62	00:00:35.63	7961.223	00:01:01.00	2	00:00:13.25	00:00:32.88	7997.916	00:00:00.00	0	00:07:01.87	00:07:20.88	
