							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					ACO_F1=5_F2=1_Sync=100					ACO_F1=5_F2=1_Sync=1000					ACO_F1=F2=1_Sync=100					ACO_F1=F2=1_Sync=1000					Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	21		0.5	1.0	7048.2758	6827.3514	6743.624000000001	6673.493	7048.2758	6827.3514	7658.104999999999	-3.1344460158610787	-4.322359235715488	-5.317368539976818	0.0	-3.1344460158610787	8.652175614353778	3.2358726987452355	-1.2263525794204624	-2.2535591181083605	3.2358726987452355	0.0	12.16802170165138	4.517627317300009	1.241578711980369	-1.0399601164003176	4.517627317300009	1.241578711980369	13.560675980748604	5.615991505497936	2.30551526764168	1.0508889422675616	5.615991505497936	2.30551526764168	14.754072567394585	0.0	-3.1344460158610787	-4.322359235715488	-5.317368539976818	-3.1344460158610787	8.652175614353778	3.2358726987452355	0.0	-1.2263525794204624	-2.2535591181083605	3.2358726987452355	12.16802170165138	-7.963186715251341	-10.848030942380646	-11.941348414522894	-12.85712327005177	-7.963186715251341	-10.848030942380646	
	10	3	21		0.0	0.0	7595.577	7451.2902	6904.469599999999	6958.692999999999	7595.577	7451.2902	6995.9169999999995	-1.8996160528686659	-9.098813691178442	-8.384932441603858	0.0	-1.8996160528686659	-7.894857757350107	1.9364002223400214	-7.338602917384704	-6.610898069706114	1.9364002223400214	0.0	-6.111333578176842	10.009565398043042	7.919806034050763	0.7853376601151185	10.009565398043042	7.919806034050763	1.3244666903885014	9.152350879683889	7.078875300289882	-0.7792181663999214	9.152350879683889	7.078875300289882	0.5349280389291571	0.0	-1.8996160528686659	-9.098813691178442	-8.384932441603858	-1.8996160528686659	-7.894857757350107	1.9364002223400214	0.0	-7.338602917384704	-6.610898069706114	1.9364002223400214	-6.111333578176842	8.57157110354512	6.509128110010459	-1.3071538727517809	-0.5320817842750353	8.57157110354512	6.509128110010459	
	10	2	21		1.0	0.33	6777.487000000001	6776.700600000001	6410.107	6391.1392	6777.487000000001	6776.700600000001	6607.844	-0.011603120743723147	-5.420593208072564	-5.700458001616247	0.0	-0.011603120743723147	-2.503036892582763	0.011604467224066821	-5.4096177718106775	-5.6895150421726	0.011604467224066821	0.0	-2.4917228894545023	5.731261584245022	5.71899345829954	-0.2959045769438792	5.731261584245022	5.71899345829954	3.0847690997981823	6.045053751919548	6.032749216289967	0.2967827707460978	6.045053751919548	6.032749216289967	3.3907069337497804	0.0	-0.011603120743723147	-5.420593208072564	-5.700458001616247	-0.011603120743723147	-2.503036892582763	0.011604467224066821	0.0	-5.4096177718106775	-5.6895150421726	0.011604467224066821	-2.4917228894545023	2.5672972909166853	2.555396283568447	-2.992458659738339	-3.2795084145448987	2.5672972909166853	2.555396283568447	
	10	2	21		1.0	1.0	7754.030600000001	7298.471	7191.338400000001	7287.522999999999	7754.030600000001	7298.471	7707.130999999999	-5.87513286315896	-7.256770433689036	-6.016323948992431	0.0	-5.87513286315896	-0.604841564592244	6.241849834026908	-1.4678773129330602	-0.1500040213902281	6.241849834026908	0.0	5.599254967239037	7.8245824170922145	1.4897449409417116	1.3375062422316135	7.8245824170922145	1.4897449409417116	7.172414525785619	6.40145629729061	0.1502293714887705	-1.3198531243057354	6.40145629729061	0.1502293714887705	5.757896064273145	0.0	-5.87513286315896	-7.256770433689036	-6.016323948992431	-5.87513286315896	-0.604841564592244	6.241849834026908	0.0	-1.4678773129330602	-0.1500040213902281	6.241849834026908	5.599254967239037	0.6085221595429139	-5.302362188990957	-6.692407330302277	-5.444412453869023	0.6085221595429139	-5.302362188990957	
	10	2	21		0.5	0.66	6651.3924	6340.2162	5911.369	5911.369	6651.3924	6340.2162	6997.117	-4.678361781812787	-11.125841861322156	-11.125841861322156	0.0	-4.678361781812787	5.197777836712805	4.907974589257702	-6.763920763459142	-6.763920763459142	4.907974589257702	0.0	10.360858041402441	12.51864669588382	7.254617331450637	0.0	12.51864669588382	7.254617331450637	18.367115976011654	12.51864669588382	7.254617331450637	0.0	12.51864669588382	7.254617331450637	18.367115976011654	0.0	-4.678361781812787	-11.125841861322156	-11.125841861322156	-4.678361781812787	5.197777836712805	4.907974589257702	0.0	-6.763920763459142	-6.763920763459142	4.907974589257702	10.360858041402441	-4.940957825916016	-9.38816372514566	-15.517076533092133	-15.517076533092133	-4.940957825916016	-9.38816372514566	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=5_F2=1_Sync=100	ACO_F1=5_F2=1_Sync=1000	ACO_F1=F2=1_Sync=100	ACO_F1=F2=1_Sync=1000	Greedy	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=5_F2=1_Sync=100	ACO_F1=1_F2=5_Sync=100->ACO_F1=5_F2=1_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=F2=1_Sync=100	ACO_F1=1_F2=5_Sync=100->ACO_F1=F2=1_Sync=1000	ACO_F1=1_F2=5_Sync=100->Greedy	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000->ACO_F1=5_F2=1_Sync=100	ACO_F1=1_F2=5_Sync=1000->ACO_F1=5_F2=1_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=F2=1_Sync=100	ACO_F1=1_F2=5_Sync=1000->ACO_F1=F2=1_Sync=1000	ACO_F1=1_F2=5_Sync=1000->Greedy	ACO_F1=5_F2=1_Sync=100->ACO_F1=1_F2=5_Sync=100	ACO_F1=5_F2=1_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=5_F2=1_Sync=100->ACO_F1=5_F2=1_Sync=1000	ACO_F1=5_F2=1_Sync=100->ACO_F1=F2=1_Sync=100	ACO_F1=5_F2=1_Sync=100->ACO_F1=F2=1_Sync=1000	ACO_F1=5_F2=1_Sync=100->Greedy	ACO_F1=5_F2=1_Sync=1000->ACO_F1=1_F2=5_Sync=100	ACO_F1=5_F2=1_Sync=1000->ACO_F1=1_F2=5_Sync=1000	ACO_F1=5_F2=1_Sync=1000->ACO_F1=5_F2=1_Sync=100	ACO_F1=5_F2=1_Sync=1000->ACO_F1=F2=1_Sync=100	ACO_F1=5_F2=1_Sync=1000->ACO_F1=F2=1_Sync=1000	ACO_F1=5_F2=1_Sync=1000->Greedy	ACO_F1=F2=1_Sync=100->ACO_F1=1_F2=5_Sync=100	ACO_F1=F2=1_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=F2=1_Sync=100->ACO_F1=5_F2=1_Sync=100	ACO_F1=F2=1_Sync=100->ACO_F1=5_F2=1_Sync=1000	ACO_F1=F2=1_Sync=100->ACO_F1=F2=1_Sync=1000	ACO_F1=F2=1_Sync=100->Greedy	ACO_F1=F2=1_Sync=1000->ACO_F1=1_F2=5_Sync=100	ACO_F1=F2=1_Sync=1000->ACO_F1=1_F2=5_Sync=1000	ACO_F1=F2=1_Sync=1000->ACO_F1=5_F2=1_Sync=100	ACO_F1=F2=1_Sync=1000->ACO_F1=5_F2=1_Sync=1000	ACO_F1=F2=1_Sync=1000->ACO_F1=F2=1_Sync=100	ACO_F1=F2=1_Sync=1000->Greedy	Greedy->ACO_F1=1_F2=5_Sync=100	Greedy->ACO_F1=1_F2=5_Sync=1000	Greedy->ACO_F1=5_F2=1_Sync=100	Greedy->ACO_F1=5_F2=1_Sync=1000	Greedy->ACO_F1=F2=1_Sync=100	Greedy->ACO_F1=F2=1_Sync=1000	
	10	3	21	100	0.5	1.0	00:07:08.00	00:07:08.00	00:07:31.00	00:07:04.00	00:07:08.00	00:07:08.00	00:05:04.00	0.0	5.373831775700935	-0.9345794392523363	0.0	0.0	-28.971962616822427	0.0	5.373831775700935	-0.9345794392523363	0.0	0.0	-28.971962616822427	-5.099778270509978	-5.099778270509978	-5.986696230598669	-5.099778270509978	-5.099778270509978	-32.59423503325942	0.9433962264150944	0.9433962264150944	6.367924528301887	0.9433962264150944	0.9433962264150944	-28.30188679245283	0.0	0.0	5.373831775700935	-0.9345794392523363	0.0	-28.971962616822427	0.0	0.0	5.373831775700935	-0.9345794392523363	0.0	-28.971962616822427	40.78947368421053	40.78947368421053	48.35526315789473	39.473684210526315	40.78947368421053	40.78947368421053	
	10	3	21	200	0.5	1.0	00:07:04.00	00:07:04.00	00:07:36.00	00:07:08.00	00:07:04.00	00:07:04.00	00:05:04.00	0.0	7.547169811320755	0.9433962264150944	0.0	0.0	-28.30188679245283	0.0	7.547169811320755	0.9433962264150944	0.0	0.0	-28.30188679245283	-7.017543859649122	-7.017543859649122	-6.140350877192982	-7.017543859649122	-7.017543859649122	-33.33333333333333	-0.9345794392523363	-0.9345794392523363	6.5420560747663545	-0.9345794392523363	-0.9345794392523363	-28.971962616822427	0.0	0.0	7.547169811320755	0.9433962264150944	0.0	-28.30188679245283	0.0	0.0	7.547169811320755	0.9433962264150944	0.0	-28.30188679245283	39.473684210526315	39.473684210526315	50.0	40.78947368421053	39.473684210526315	39.473684210526315	
	10	3	21	500	0.5	1.0	00:07:08.00	00:07:04.00	00:07:31.00	00:07:04.00	00:07:08.00	00:07:04.00	00:05:04.00	-0.9345794392523363	5.373831775700935	-0.9345794392523363	0.0	-0.9345794392523363	-28.971962616822427	0.9433962264150944	6.367924528301887	0.0	0.9433962264150944	0.0	-28.30188679245283	-5.099778270509978	-5.986696230598669	-5.986696230598669	-5.099778270509978	-5.986696230598669	-32.59423503325942	0.9433962264150944	0.0	6.367924528301887	0.9433962264150944	0.0	-28.30188679245283	0.0	-0.9345794392523363	5.373831775700935	-0.9345794392523363	-0.9345794392523363	-28.971962616822427	0.9433962264150944	0.0	6.367924528301887	0.0	0.9433962264150944	-28.30188679245283	40.78947368421053	39.473684210526315	48.35526315789473	39.473684210526315	40.78947368421053	39.473684210526315	
	10	3	21	400	0.5	1.0	00:05:34.00	00:07:04.00	00:07:36.00	00:07:08.00	00:05:34.00	00:07:04.00	00:05:04.00	26.94610778443114	36.52694610778443	28.143712574850298	0.0	26.94610778443114	-8.982035928143713	-21.22641509433962	7.547169811320755	0.9433962264150944	-21.22641509433962	0.0	-28.30188679245283	-26.75438596491228	-7.017543859649122	-6.140350877192982	-26.75438596491228	-7.017543859649122	-33.33333333333333	-21.962616822429908	-0.9345794392523363	6.5420560747663545	-21.962616822429908	-0.9345794392523363	-28.971962616822427	0.0	26.94610778443114	36.52694610778443	28.143712574850298	26.94610778443114	-8.982035928143713	-21.22641509433962	0.0	7.547169811320755	0.9433962264150944	-21.22641509433962	-28.30188679245283	9.868421052631579	39.473684210526315	50.0	40.78947368421053	9.868421052631579	39.473684210526315	
	10	3	21	300	0.5	1.0	00:07:04.00	00:07:08.00	00:07:36.00	00:07:04.00	00:07:04.00	00:07:08.00	00:05:04.00	0.9433962264150944	7.547169811320755	0.0	0.0	0.9433962264150944	-28.30188679245283	-0.9345794392523363	6.5420560747663545	-0.9345794392523363	-0.9345794392523363	0.0	-28.971962616822427	-7.017543859649122	-6.140350877192982	-7.017543859649122	-7.017543859649122	-6.140350877192982	-33.33333333333333	0.0	0.9433962264150944	7.547169811320755	0.0	0.9433962264150944	-28.30188679245283	0.0	0.9433962264150944	7.547169811320755	0.0	0.9433962264150944	-28.30188679245283	-0.9345794392523363	0.0	6.5420560747663545	-0.9345794392523363	-0.9345794392523363	-28.971962616822427	39.473684210526315	40.78947368421053	50.0	39.473684210526315	39.473684210526315	40.78947368421053	
	10	3	21	100	1.0	0.33	00:04:11.00	00:04:11.00	00:04:11.00	00:04:11.00	00:04:11.00	00:04:11.00	00:04:24.00	0.0	0.0	0.0	0.0	0.0	5.179282868525896	0.0	0.0	0.0	0.0	0.0	5.179282868525896	0.0	0.0	0.0	0.0	0.0	5.179282868525896	0.0	0.0	0.0	0.0	0.0	5.179282868525896	0.0	0.0	0.0	0.0	0.0	5.179282868525896	0.0	0.0	0.0	0.0	0.0	5.179282868525896	-4.924242424242424	-4.924242424242424	-4.924242424242424	-4.924242424242424	-4.924242424242424	-4.924242424242424	
	10	3	21	200	1.0	0.33	00:04:11.00	00:04:11.00	00:04:11.00	00:04:13.00	00:04:11.00	00:04:11.00	00:04:24.00	0.0	0.0	0.796812749003984	0.0	0.0	5.179282868525896	0.0	0.0	0.796812749003984	0.0	0.0	5.179282868525896	0.0	0.0	0.796812749003984	0.0	0.0	5.179282868525896	-0.7905138339920948	-0.7905138339920948	-0.7905138339920948	-0.7905138339920948	-0.7905138339920948	4.3478260869565215	0.0	0.0	0.0	0.796812749003984	0.0	5.179282868525896	0.0	0.0	0.0	0.796812749003984	0.0	5.179282868525896	-4.924242424242424	-4.924242424242424	-4.924242424242424	-4.166666666666666	-4.924242424242424	-4.924242424242424	
	10	3	21	500	1.0	0.33	00:04:11.00	00:04:11.00	00:04:11.00	00:04:11.00	00:04:11.00	00:04:11.00	00:04:24.00	0.0	0.0	0.0	0.0	0.0	5.179282868525896	0.0	0.0	0.0	0.0	0.0	5.179282868525896	0.0	0.0	0.0	0.0	0.0	5.179282868525896	0.0	0.0	0.0	0.0	0.0	5.179282868525896	0.0	0.0	0.0	0.0	0.0	5.179282868525896	0.0	0.0	0.0	0.0	0.0	5.179282868525896	-4.924242424242424	-4.924242424242424	-4.924242424242424	-4.924242424242424	-4.924242424242424	-4.924242424242424	
	10	3	21	400	1.0	0.33	00:04:11.00	00:04:11.00	00:04:13.00	00:04:11.00	00:04:11.00	00:04:11.00	00:04:24.00	0.0	0.796812749003984	0.0	0.0	0.0	5.179282868525896	0.0	0.796812749003984	0.0	0.0	0.0	5.179282868525896	-0.7905138339920948	-0.7905138339920948	-0.7905138339920948	-0.7905138339920948	-0.7905138339920948	4.3478260869565215	0.0	0.0	0.796812749003984	0.0	0.0	5.179282868525896	0.0	0.0	0.796812749003984	0.0	0.0	5.179282868525896	0.0	0.0	0.796812749003984	0.0	0.0	5.179282868525896	-4.924242424242424	-4.924242424242424	-4.166666666666666	-4.924242424242424	-4.924242424242424	-4.924242424242424	
	10	3	21	300	1.0	0.33	00:04:13.00	00:04:11.00	00:04:11.00	00:04:11.00	00:04:13.00	00:04:11.00	00:04:24.00	-0.7905138339920948	-0.7905138339920948	-0.7905138339920948	0.0	-0.7905138339920948	4.3478260869565215	0.796812749003984	0.0	0.0	0.796812749003984	0.0	5.179282868525896	0.796812749003984	0.0	0.0	0.796812749003984	0.0	5.179282868525896	0.796812749003984	0.0	0.0	0.796812749003984	0.0	5.179282868525896	0.0	-0.7905138339920948	-0.7905138339920948	-0.7905138339920948	-0.7905138339920948	4.3478260869565215	0.796812749003984	0.0	0.0	0.0	0.796812749003984	5.179282868525896	-4.166666666666666	-4.924242424242424	-4.924242424242424	-4.924242424242424	-4.166666666666666	-4.924242424242424	
	10	3	21	100	0.5	0.33	00:05:23.00	00:04:11.00	00:04:11.00	00:04:11.00	00:05:23.00	00:04:11.00	00:05:27.00	-22.291021671826623	-22.291021671826623	-22.291021671826623	0.0	-22.291021671826623	1.238390092879257	28.68525896414343	0.0	0.0	28.68525896414343	0.0	30.278884462151396	28.68525896414343	0.0	0.0	28.68525896414343	0.0	30.278884462151396	28.68525896414343	0.0	0.0	28.68525896414343	0.0	30.278884462151396	0.0	-22.291021671826623	-22.291021671826623	-22.291021671826623	-22.291021671826623	1.238390092879257	28.68525896414343	0.0	0.0	0.0	28.68525896414343	30.278884462151396	-1.2232415902140672	-23.24159021406728	-23.24159021406728	-23.24159021406728	-1.2232415902140672	-23.24159021406728	
	10	3	21	200	0.5	0.33	00:06:36.00	00:04:11.00	00:05:48.00	00:04:11.00	00:06:36.00	00:04:11.00	00:05:27.00	-36.61616161616162	-12.121212121212121	-36.61616161616162	0.0	-36.61616161616162	-17.424242424242426	57.76892430278885	38.645418326693225	0.0	57.76892430278885	0.0	30.278884462151396	13.793103448275861	-27.873563218390807	-27.873563218390807	13.793103448275861	-27.873563218390807	-6.0344827586206895	57.76892430278885	0.0	38.645418326693225	57.76892430278885	0.0	30.278884462151396	0.0	-36.61616161616162	-12.121212121212121	-36.61616161616162	-36.61616161616162	-17.424242424242426	57.76892430278885	0.0	38.645418326693225	0.0	57.76892430278885	30.278884462151396	21.100917431192663	-23.24159021406728	6.422018348623854	-23.24159021406728	21.100917431192663	-23.24159021406728	
	10	3	21	500	0.5	0.33	00:06:33.00	00:04:13.00	00:04:11.00	00:04:11.00	00:06:33.00	00:04:13.00	00:05:27.00	-35.6234096692112	-36.1323155216285	-36.1323155216285	0.0	-35.6234096692112	-16.793893129770993	55.33596837944664	-0.7905138339920948	-0.7905138339920948	55.33596837944664	0.0	29.249011857707508	56.573705179282875	0.796812749003984	0.0	56.573705179282875	0.796812749003984	30.278884462151396	56.573705179282875	0.796812749003984	0.0	56.573705179282875	0.796812749003984	30.278884462151396	0.0	-35.6234096692112	-36.1323155216285	-36.1323155216285	-35.6234096692112	-16.793893129770993	55.33596837944664	0.0	-0.7905138339920948	-0.7905138339920948	55.33596837944664	29.249011857707508	20.18348623853211	-22.629969418960243	-23.24159021406728	-23.24159021406728	20.18348623853211	-22.629969418960243	
	10	3	21	400	0.5	0.33	00:06:33.00	00:04:11.00	00:04:11.00	00:04:11.00	00:06:33.00	00:04:11.00	00:05:27.00	-36.1323155216285	-36.1323155216285	-36.1323155216285	0.0	-36.1323155216285	-16.793893129770993	56.573705179282875	0.0	0.0	56.573705179282875	0.0	30.278884462151396	56.573705179282875	0.0	0.0	56.573705179282875	0.0	30.278884462151396	56.573705179282875	0.0	0.0	56.573705179282875	0.0	30.278884462151396	0.0	-36.1323155216285	-36.1323155216285	-36.1323155216285	-36.1323155216285	-16.793893129770993	56.573705179282875	0.0	0.0	0.0	56.573705179282875	30.278884462151396	20.18348623853211	-23.24159021406728	-23.24159021406728	-23.24159021406728	20.18348623853211	-23.24159021406728	
	10	3	21	300	0.5	0.33	00:05:23.00	00:04:11.00	00:05:48.00	00:04:11.00	00:05:23.00	00:04:11.00	00:05:27.00	-22.291021671826623	7.739938080495357	-22.291021671826623	0.0	-22.291021671826623	1.238390092879257	28.68525896414343	38.645418326693225	0.0	28.68525896414343	0.0	30.278884462151396	-7.183908045977011	-27.873563218390807	-27.873563218390807	-7.183908045977011	-27.873563218390807	-6.0344827586206895	28.68525896414343	0.0	38.645418326693225	28.68525896414343	0.0	30.278884462151396	0.0	-22.291021671826623	7.739938080495357	-22.291021671826623	-22.291021671826623	1.238390092879257	28.68525896414343	0.0	38.645418326693225	0.0	28.68525896414343	30.278884462151396	-1.2232415902140672	-23.24159021406728	6.422018348623854	-23.24159021406728	-1.2232415902140672	-23.24159021406728	
	10	3	21	100	0.5	0.66	00:14:58.00	00:10:32.00	00:10:43.00	00:10:43.00	00:14:58.00	00:10:32.00	00:07:41.00	-29.621380846325167	-28.396436525612472	-28.396436525612472	0.0	-29.621380846325167	-48.66369710467706	42.08860759493671	1.740506329113924	1.740506329113924	42.08860759493671	0.0	-27.056962025316455	39.657853810264385	-1.7107309486780715	0.0	39.657853810264385	-1.7107309486780715	-28.304821150855364	39.657853810264385	-1.7107309486780715	0.0	39.657853810264385	-1.7107309486780715	-28.304821150855364	0.0	-29.621380846325167	-28.396436525612472	-28.396436525612472	-29.621380846325167	-48.66369710467706	42.08860759493671	0.0	1.740506329113924	1.740506329113924	42.08860759493671	-27.056962025316455	94.79392624728851	37.093275488069416	39.479392624728845	39.479392624728845	94.79392624728851	37.093275488069416	
	10	3	21	200	0.5	0.66	00:14:58.00	00:10:32.00	00:10:43.00	00:10:32.00	00:14:58.00	00:10:32.00	00:07:41.00	-29.621380846325167	-28.396436525612472	-29.621380846325167	0.0	-29.621380846325167	-48.66369710467706	42.08860759493671	1.740506329113924	0.0	42.08860759493671	0.0	-27.056962025316455	39.657853810264385	-1.7107309486780715	-1.7107309486780715	39.657853810264385	-1.7107309486780715	-28.304821150855364	42.08860759493671	0.0	1.740506329113924	42.08860759493671	0.0	-27.056962025316455	0.0	-29.621380846325167	-28.396436525612472	-29.621380846325167	-29.621380846325167	-48.66369710467706	42.08860759493671	0.0	1.740506329113924	0.0	42.08860759493671	-27.056962025316455	94.79392624728851	37.093275488069416	39.479392624728845	37.093275488069416	94.79392624728851	37.093275488069416	
	10	3	21	500	0.5	0.66	00:15:48.00	00:10:43.00	00:10:32.00	00:10:43.00	00:15:48.00	00:10:43.00	00:07:41.00	-32.17299578059072	-33.33333333333333	-32.17299578059072	0.0	-32.17299578059072	-51.371308016877634	47.43390357698289	-1.7107309486780715	0.0	47.43390357698289	0.0	-28.304821150855364	50.0	1.740506329113924	1.740506329113924	50.0	1.740506329113924	-27.056962025316455	47.43390357698289	0.0	-1.7107309486780715	47.43390357698289	0.0	-28.304821150855364	0.0	-32.17299578059072	-33.33333333333333	-32.17299578059072	-32.17299578059072	-51.371308016877634	47.43390357698289	0.0	-1.7107309486780715	0.0	47.43390357698289	-28.304821150855364	105.63991323210413	39.479392624728845	37.093275488069416	39.479392624728845	105.63991323210413	39.479392624728845	
	10	3	21	400	0.5	0.66	00:14:57.00	00:10:43.00	00:10:43.00	00:10:32.00	00:14:57.00	00:10:43.00	00:07:41.00	-28.31661092530658	-28.31661092530658	-29.54292084726867	0.0	-28.31661092530658	-48.60646599777034	39.502332814930014	0.0	-1.7107309486780715	39.502332814930014	0.0	-28.304821150855364	39.502332814930014	0.0	-1.7107309486780715	39.502332814930014	0.0	-28.304821150855364	41.93037974683544	1.740506329113924	1.740506329113924	41.93037974683544	1.740506329113924	-27.056962025316455	0.0	-28.31661092530658	-28.31661092530658	-29.54292084726867	-28.31661092530658	-48.60646599777034	39.502332814930014	0.0	0.0	-1.7107309486780715	39.502332814930014	-28.304821150855364	94.57700650759219	39.479392624728845	39.479392624728845	37.093275488069416	94.57700650759219	39.479392624728845	
	10	3	21	300	0.5	0.66	00:13:18.00	00:10:32.00	00:10:43.00	00:10:32.00	00:13:18.00	00:10:32.00	00:07:41.00	-20.80200501253133	-19.423558897243108	-20.80200501253133	0.0	-20.80200501253133	-42.230576441102755	26.265822784810126	1.740506329113924	0.0	26.265822784810126	0.0	-27.056962025316455	24.10575427682737	-1.7107309486780715	-1.7107309486780715	24.10575427682737	-1.7107309486780715	-28.304821150855364	26.265822784810126	0.0	1.740506329113924	26.265822784810126	0.0	-27.056962025316455	0.0	-20.80200501253133	-19.423558897243108	-20.80200501253133	-20.80200501253133	-42.230576441102755	26.265822784810126	0.0	1.740506329113924	0.0	26.265822784810126	-27.056962025316455	73.10195227765726	37.093275488069416	39.479392624728845	37.093275488069416	73.10195227765726	37.093275488069416	
	10	3	21	100	1.0	1.0	00:07:04.00	00:07:04.00	00:07:31.00	00:07:04.00	00:07:04.00	00:07:04.00	00:05:40.00	0.0	6.367924528301887	0.0	0.0	0.0	-19.81132075471698	0.0	6.367924528301887	0.0	0.0	0.0	-19.81132075471698	-5.986696230598669	-5.986696230598669	-5.986696230598669	-5.986696230598669	-5.986696230598669	-24.6119733924612	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	24.705882352941178	24.705882352941178	32.64705882352941	24.705882352941178	24.705882352941178	24.705882352941178	
	10	3	21	200	1.0	1.0	00:07:04.00	00:07:04.00	00:07:31.00	00:07:04.00	00:07:04.00	00:07:04.00	00:05:40.00	0.0	6.367924528301887	0.0	0.0	0.0	-19.81132075471698	0.0	6.367924528301887	0.0	0.0	0.0	-19.81132075471698	-5.986696230598669	-5.986696230598669	-5.986696230598669	-5.986696230598669	-5.986696230598669	-24.6119733924612	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	24.705882352941178	24.705882352941178	32.64705882352941	24.705882352941178	24.705882352941178	24.705882352941178	
	10	3	21	500	1.0	1.0	00:07:04.00	00:07:04.00	00:07:31.00	00:07:04.00	00:07:04.00	00:07:04.00	00:05:40.00	0.0	6.367924528301887	0.0	0.0	0.0	-19.81132075471698	0.0	6.367924528301887	0.0	0.0	0.0	-19.81132075471698	-5.986696230598669	-5.986696230598669	-5.986696230598669	-5.986696230598669	-5.986696230598669	-24.6119733924612	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	24.705882352941178	24.705882352941178	32.64705882352941	24.705882352941178	24.705882352941178	24.705882352941178	
	10	3	21	400	1.0	1.0	00:07:04.00	00:07:04.00	00:07:31.00	00:07:04.00	00:07:04.00	00:07:04.00	00:05:40.00	0.0	6.367924528301887	0.0	0.0	0.0	-19.81132075471698	0.0	6.367924528301887	0.0	0.0	0.0	-19.81132075471698	-5.986696230598669	-5.986696230598669	-5.986696230598669	-5.986696230598669	-5.986696230598669	-24.6119733924612	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	24.705882352941178	24.705882352941178	32.64705882352941	24.705882352941178	24.705882352941178	24.705882352941178	
	10	3	21	300	1.0	1.0	00:07:04.00	00:07:04.00	00:07:31.00	00:07:04.00	00:07:04.00	00:07:04.00	00:05:40.00	0.0	6.367924528301887	0.0	0.0	0.0	-19.81132075471698	0.0	6.367924528301887	0.0	0.0	0.0	-19.81132075471698	-5.986696230598669	-5.986696230598669	-5.986696230598669	-5.986696230598669	-5.986696230598669	-24.6119733924612	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	0.0	0.0	6.367924528301887	0.0	0.0	-19.81132075471698	24.705882352941178	24.705882352941178	32.64705882352941	24.705882352941178	24.705882352941178	24.705882352941178	
	10	2	21	100	1.0	0.66	00:21:49.00	00:21:25.00	00:31:21.00	00:21:25.00	00:21:49.00	00:21:25.00	00:18:31.00	-1.8334606569900689	43.69747899159664	-1.8334606569900689	0.0	-1.8334606569900689	-15.126050420168067	1.867704280155642	46.38132295719844	0.0	1.867704280155642	0.0	-13.540856031128405	-30.409356725146196	-31.68527379053695	-31.68527379053695	-30.409356725146196	-31.68527379053695	-40.93567251461988	1.867704280155642	0.0	46.38132295719844	1.867704280155642	0.0	-13.540856031128405	0.0	-1.8334606569900689	43.69747899159664	-1.8334606569900689	-1.8334606569900689	-15.126050420168067	1.867704280155642	0.0	46.38132295719844	0.0	1.867704280155642	-13.540856031128405	17.82178217821782	15.661566156615661	69.3069306930693	15.661566156615661	17.82178217821782	15.661566156615661	
