							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					ACO_F1=5_F2=1_Sync=100					ACO_F1=5_F2=1_Sync=1000					ACO_F1=F2=1_Sync=100					ACO_F1=F2=1_Sync=1000					Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	21	200	1.0	0.66	6911.312	00:21:49.00	7	00:00:08.09	00:00:27.28	6708.761	00:19:12.00	6	00:02:22.75	00:02:42.35	6374.145	00:19:12.00	6	00:00:07.53	00:00:25.17	6374.145	00:19:12.00	6	00:02:31.99	00:02:47.13	6911.312	00:21:49.00	7	00:00:08.07	00:00:27.21	6708.761	00:19:12.00	6	00:02:22.51	00:02:40.62	6855.696	00:18:31.00	6	00:00:30.14	00:00:46.89	
	10	3	21	100	1.0	0.33	7448.976	00:04:11.00	4	00:00:13.79	00:00:34.85	7448.976	00:04:11.00	4	00:04:46.77	00:05:07.05	6959.208	00:04:11.00	4	00:00:13.61	00:00:30.99	6959.208	00:04:11.00	4	00:06:23.29	00:06:42.42	7448.976	00:04:11.00	4	00:00:12.25	00:00:31.40	7448.976	00:04:11.00	4	00:04:44.53	00:05:04.98	7152.408	00:04:24.00	5	00:00:36.31	00:00:52.92	
	10	2	21	300	1.0	0.66	6861.116	00:23:19.00	9	00:00:07.25	00:00:25.37	6835.084	00:20:22.00	6	00:02:27.72	00:02:42.63	6374.145	00:19:12.00	6	00:00:07.73	00:00:25.77	6374.145	00:19:12.00	6	00:02:36.78	00:02:53.77	6861.116	00:23:19.00	9	00:00:07.89	00:00:27.16	6835.084	00:20:22.00	6	00:02:28.08	00:02:43.22	6855.696	00:18:31.00	6	00:00:38.13	00:00:57.61	
	10	3	21	500	0.0	0.0	7458.199	00:04:11.00	4	00:00:09.85	00:00:29.88	7440.927	00:04:15.00	4	00:05:06.39	00:05:23.10	6948.303	00:04:15.00	4	00:00:12.07	00:00:31.17	6959.208	00:04:11.00	4	00:07:43.45	00:08:03.82	7458.199	00:04:11.00	4	00:00:08.89	00:00:27.25	7440.927	00:04:15.00	4	00:04:59.19	00:05:15.88	6995.917	00:04:03.00	5	00:00:59.59	00:01:18.42	
	10	3	21	400	0.5	0.66	6805.758	00:14:57.00	5	00:00:12.07	00:00:31.45	6779.784	00:10:43.00	5	00:04:30.05	00:04:46.78	6319.406	00:10:43.00	5	00:00:13.26	00:00:30.70	6339.755	00:10:32.00	5	00:05:56.35	00:06:12.04	6805.758	00:14:57.00	5	00:00:12.07	00:00:31.63	6779.784	00:10:43.00	5	00:04:29.90	00:04:49.32	7181.518	00:07:41.00	4	00:00:47.00	00:01:06.07	
	10	2	21	200	0.0	0.0	6777.753	00:31:55.00	6	00:00:06.88	00:00:22.74	6830.957	00:18:07.00	8	00:03:52.62	00:04:09.36	6570.846	00:30:52.00	7	00:00:06.79	00:00:22.83	6462.91	00:18:40.00	9	00:04:23.12	00:04:41.57	6777.753	00:31:55.00	6	00:00:08.04	00:00:26.26	6830.957	00:18:07.00	8	00:03:53.10	00:04:10.06	6656.982	00:18:31.00	6	00:01:09.45	00:01:27.74	
	10	2	21	100	0.5	1.0	7380.873	00:30:23.00	7	00:00:07.43	00:00:23.19	6797.674	00:22:40.00	5	00:02:04.15	00:02:22.31	6790.378	00:18:43.00	6	00:00:07.37	00:00:23.07	6673.493	00:23:35.00	5	00:02:04.93	00:02:22.82	7380.873	00:30:23.00	7	00:00:08.45	00:00:25.76	6797.674	00:22:40.00	5	00:02:05.94	00:02:24.53	7658.105	00:20:48.00	8	00:00:53.24	00:01:14.79	
	10	2	21	400	1.0	0.66	6861.116	00:23:19.00	9	00:00:07.70	00:00:26.40	6703.389	00:21:25.00	6	00:02:29.01	00:02:44.44	6374.145	00:19:12.00	6	00:00:07.82	00:00:25.94	6374.145	00:19:12.00	6	00:02:37.40	00:02:52.97	6861.116	00:23:19.00	9	00:00:07.50	00:00:25.81	6703.389	00:21:25.00	6	00:02:29.39	00:02:46.21	6855.696	00:18:31.00	6	00:00:40.84	00:01:01.31	
	10	2	21	500	0.5	0.66	6755.247	00:29:05.00	9	00:00:11.48	00:00:29.42	6331.312	00:31:04.00	8	00:03:02.72	00:03:20.40	5911.369	00:28:22.00	7	00:00:10.08	00:00:27.22	5911.369	00:28:22.00	7	00:03:03.46	00:03:20.77	6755.247	00:29:05.00	9	00:00:11.82	00:00:30.13	6331.312	00:31:04.00	8	00:03:04.02	00:03:18.54	6997.117	00:21:17.00	6	00:00:50.67	00:01:09.08	
	10	3	21	100	0.5	0.33	7648.781	00:05:23.00	5	00:00:14.36	00:00:31.87	7458.199	00:04:11.00	4	00:06:37.26	00:06:57.75	6829.101	00:04:11.00	4	00:00:13.50	00:00:28.59	7044.971	00:04:11.00	4	00:08:28.53	00:08:47.48	7648.781	00:05:23.00	5	00:00:15.86	00:00:35.68	7458.199	00:04:11.00	4	00:06:47.17	00:07:07.94	7135.212	00:05:27.00	4	00:01:04.17	00:01:26.15	
