							Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	21	100	1.0	0.66	00:00:00.00	
	10	4	21	200	1.0	0.66	00:00:00.00	
	10	4	21	500	1.0	0.66	00:00:00.00	
	10	4	21	400	1.0	0.66	00:00:00.00	
	10	4	21	300	1.0	0.66	00:00:00.00	

AVG OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	4	21		0.5	0.66	00:01:26.00	
	10	4	21		1.0	0.33	00:00:00.00	
	10	4	21		0.5	0.33	00:00:00.00	
	10	4	21		1.0	1.0	00:00:03.00	
	10	4	21		0.5	1.0	00:04:28.00	
	10	4	21		0.0	0.0	00:00:00.00	
	10	4	21		1.0	0.66	00:00:00.00	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	4	21	100	0.5	0.66	1	
	10	4	21	200	0.5	0.66	1	
	10	4	21	500	0.5	0.66	1	
	10	4	21	400	0.5	0.66	1	
	10	4	21	300	0.5	0.66	1	
	10	4	21	100	1.0	0.33	0	
	10	4	21	200	1.0	0.33	0	
	10	4	21	500	1.0	0.33	0	
	10	4	21	400	1.0	0.33	0	
	10	4	21	300	1.0	0.33	0	
	10	4	21	100	0.5	0.33	0	
	10	4	21	200	0.5	0.33	0	
	10	4	21	500	0.5	0.33	0	
	10	4	21	400	0.5	0.33	0	
	10	4	21	300	0.5	0.33	0	
	10	4	21	100	1.0	1.0	1	
	10	4	21	200	1.0	1.0	1	
	10	4	21	500	1.0	1.0	1	
	10	4	21	400	1.0	1.0	1	
	10	4	21	300	1.0	1.0	1	
	10	4	21	100	0.5	1.0	3	
	10	4	21	200	0.5	1.0	3	
	10	4	21	500	0.5	1.0	3	
	10	4	21	400	0.5	1.0	3	
	10	4	21	300	0.5	1.0	3	
	10	4	21	100	0.0	0.0	0	
	10	4	21	200	0.0	0.0	0	
	10	4	21	500	0.0	0.0	0	
	10	4	21	400	0.0	0.0	0	
	10	4	21	300	0.0	0.0	0	
	10	4	21	100	1.0	0.66	0	
	10	4	21	200	1.0	0.66	0	
	10	4	21	500	1.0	0.66	0	
	10	4	21	400	1.0	0.66	0	
	10	4	21	300	1.0	0.66	0	

AVG TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	4	21		0.5	0.66	1.0	
	10	4	21		1.0	0.33	0.0	
	10	4	21		0.5	0.33	0.0	
	10	4	21		1.0	1.0	1.0	
	10	4	21		0.5	1.0	3.0	
	10	4	21		0.0	0.0	0.0	
	10	4	21		1.0	0.66	0.0	

MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	4	21	100	0.5	0.66	00:00:42.37	
	10	4	21	200	0.5	0.66	00:00:37.79	
	10	4	21	500	0.5	0.66	00:00:42.55	
	10	4	21	400	0.5	0.66	00:00:37.23	
	10	4	21	300	0.5	0.66	00:00:39.75	
	10	4	21	100	1.0	0.33	00:00:41.42	
	10	4	21	200	1.0	0.33	00:00:42.91	
	10	4	21	500	1.0	0.33	00:00:40.47	
	10	4	21	400	1.0	0.33	00:00:45.72	
	10	4	21	300	1.0	0.33	00:00:43.29	
	10	4	21	100	0.5	0.33	00:00:48.89	
	10	4	21	200	0.5	0.33	00:00:45.21	
	10	4	21	500	0.5	0.33	00:00:46.44	
	10	4	21	400	0.5	0.33	00:00:48.93	
	10	4	21	300	0.5	0.33	00:00:52.11	
	10	4	21	100	1.0	1.0	00:00:28.10	
	10	4	21	200	1.0	1.0	00:00:29.19	
	10	4	21	500	1.0	1.0	00:00:32.81	
	10	4	21	400	1.0	1.0	00:00:27.84	
	10	4	21	300	1.0	1.0	00:00:31.39	
	10	4	21	100	0.5	1.0	00:00:46.39	
	10	4	21	200	0.5	1.0	00:00:48.10	
	10	4	21	500	0.5	1.0	00:00:45.74	
	10	4	21	400	0.5	1.0	00:00:47.61	
	10	4	21	300	0.5	1.0	00:00:47.06	
	10	4	21	100	0.0	0.0	00:03:49.61	
	10	4	21	200	0.0	0.0	00:00:51.90	
	10	4	21	500	0.0	0.0	00:00:52.21	
	10	4	21	400	0.0	0.0	00:00:52.98	
	10	4	21	300	0.0	0.0	00:00:55.28	
	10	4	21	100	1.0	0.66	00:00:32.10	
	10	4	21	200	1.0	0.66	00:00:31.10	
	10	4	21	500	1.0	0.66	00:00:31.05	
	10	4	21	400	1.0	0.66	00:00:31.54	
	10	4	21	300	1.0	0.66	00:00:30.52	

AVG MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	4	21		0.5	0.66	00:00:39.94	
	10	4	21		1.0	0.33	00:00:42.76	
	10	4	21		0.5	0.33	00:00:48.32	
	10	4	21		1.0	1.0	00:00:29.87	
	10	4	21		0.5	1.0	00:00:46.98	
	10	4	21		0.0	0.0	00:01:28.40	
	10	4	21		1.0	0.66	00:00:31.26	

OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	4	21	100	0.5	0.66	00:01:04.41	
	10	4	21	200	0.5	0.66	00:00:58.38	
	10	4	21	500	0.5	0.66	00:01:04.56	
