							bb					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	21	100	0.0	0.0	7122.802	00:00:00.00	0	00:00:00.00	00:01:05.95	

DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	4	21	100	0.0	0.0	7122.802	

AVG DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	4	21		0.0	0.0	7122.802	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	4	21	100	0.0	0.0	00:00:00.00	

AVG OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	4	21		0.0	0.0	00:00:00.00	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	4	21	100	0.0	0.0	0	

AVG TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	4	21		0.0	0.0	0.0	

MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	4	21	100	0.0	0.0	00:00:00.00	

AVG MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	4	21		0.0	0.0	00:00:00.00	

OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	4	21	100	0.0	0.0	00:01:05.95	

AVG OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	4	21		0.0	0.0	00:01:05.95	
