							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	33	100	1.0	1.0	00:09:30.00	00:09:30.00	0.0	0.0	
	10	2	33	200	1.0	1.0	00:09:30.00	00:09:30.00	0.0	0.0	
	10	2	33	100	0.0	0.0	00:17:01.00	00:08:40.00	-49.069539666993144	96.34615384615385	
	10	2	33	200	0.0	0.0	00:17:01.00	00:08:40.00	-49.069539666993144	96.34615384615385	

AVG OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33		0.5	1.0	00:10:31.00	00:08:40.00	-17.591125198098258	21.346153846153847	
	10	2	33		1.0	0.33	00:17:09.00	00:13:00.50	-24.149659863945576	31.838565022421523	
	10	2	33		0.5	0.33	00:20:44.00	00:20:31.00	-1.045016077170418	1.0560519902518277	
	10	2	33		1.0	0.66	00:08:40.00	00:08:40.00	0.0	0.0	
	10	2	33		0.5	0.66	00:23:06.00	00:12:59.00	-43.79509379509379	77.92041078305519	
	10	2	33		1.0	1.0	00:09:30.00	00:09:30.00	0.0	0.0	
	10	2	33		0.0	0.0	00:17:01.00	00:08:40.00	-49.069539666993144	96.34615384615385	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33	100	0.5	1.0	6	4	-33.33333333333333	50.0	
	10	2	33	200	0.5	1.0	6	4	-33.33333333333333	50.0	
	10	2	33	100	1.0	0.33	6	6	0.0	0.0	
	10	2	33	200	1.0	0.33	6	4	-33.33333333333333	50.0	
	10	2	33	100	0.5	0.33	8	8	0.0	0.0	
	10	2	33	200	0.5	0.33	8	8	0.0	0.0	
	10	2	33	100	1.0	0.66	4	4	0.0	0.0	
	10	2	33	200	1.0	0.66	4	4	0.0	0.0	
	10	2	33	100	0.5	0.66	7	4	-42.857142857142854	75.0	
	10	2	33	200	0.5	0.66	7	6	-14.285714285714285	16.666666666666664	
	10	2	33	100	1.0	1.0	5	5	0.0	0.0	
	10	2	33	200	1.0	1.0	5	5	0.0	0.0	
	10	2	33	100	0.0	0.0	6	4	-33.33333333333333	50.0	
	10	2	33	200	0.0	0.0	6	4	-33.33333333333333	50.0	

AVG TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33		0.5	1.0	6.0	4.0	-33.33333333333333	50.0	
	10	2	33		1.0	0.33	6.0	5.0	-16.666666666666664	20.0	
	10	2	33		0.5	0.33	8.0	8.0	0.0	0.0	
	10	2	33		1.0	0.66	4.0	4.0	0.0	0.0	
	10	2	33		0.5	0.66	7.0	5.0	-28.57142857142857	40.0	
	10	2	33		1.0	1.0	5.0	5.0	0.0	0.0	
	10	2	33		0.0	0.0	6.0	4.0	-33.33333333333333	50.0	

MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33	100	0.5	1.0	00:00:10.06	00:02:53.36	1623.2604373757458	-94.19704660821412	
	10	2	33	200	0.5	1.0	00:00:11.43	00:03:04.10	1510.6736657917759	-93.79141770776751	
	10	2	33	100	1.0	0.33	00:00:12.09	00:04:45.61	2262.36559139785	-95.76695493855259	
	10	2	33	200	1.0	0.33	00:00:12.79	00:04:56.85	2220.9538702111026	-95.69142664645443	
	10	2	33	100	0.5	0.33	00:00:13.33	00:05:50.47	2529.1822955738935	-96.19653608012099	
	10	2	33	200	0.5	0.33	00:00:15.53	00:05:45.00	2121.506761107534	-95.49855072463768	
	10	2	33	100	1.0	0.66	00:00:04.56	00:00:31.82	597.8070175438597	-85.66939032055312	
	10	2	33	200	1.0	0.66	00:00:05.86	00:00:45.41	674.9146757679181	-87.09535344637746	
	10	2	33	100	0.5	0.66	00:00:10.68	00:02:37.57	1375.374531835206	-93.22206003680903	
	10	2	33	200	0.5	0.66	00:00:11.92	00:02:39.26	1236.073825503356	-92.51538364937838	
	10	2	33	100	1.0	1.0	00:00:03.09	00:00:04.09	32.36245954692557	-24.44987775061125	
	10	2	33	200	1.0	1.0	00:00:02.67	00:00:03.98	49.06367041198502	-32.91457286432161	
	10	2	33	100	0.0	0.0	00:01:31.74	00:08:13.33	437.7479834314367	-81.40392840492166	
	10	2	33	200	0.0	0.0	00:00:14.20	00:08:38.71	3552.887323943663	-97.26243951340827	

AVG MISSION SCHEDULER COMPUTING TIME
