							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	42	500	0.0	0.0	13572.761	00:08:14.00	6	00:00:00.00	00:00:29.41	
	10	4	42	500	1.0	0.33	14409.902	00:00:00.00	0	00:00:00.00	00:00:32.00	
	10	3	42	300	1.0	0.66	14092.349	00:00:00.00	0	00:00:00.00	00:00:28.61	
	10	2	42	300	1.0	0.66	13563.662	00:08:07.00	6	00:00:00.00	00:00:27.34	
	10	4	42	100	0.5	1.0	13852.972	00:06:41.00	5	00:00:00.00	00:00:30.80	
	10	3	42	400	1.0	0.33	14092.349	00:00:00.00	0	00:00:00.00	00:00:28.57	
	10	2	42	500	0.5	1.0	13816.626	00:25:04.00	6	00:00:00.00	00:00:26.71	
	10	2	42	100	0.5	0.66	13572.761	00:08:14.00	6	00:00:00.00	00:00:28.12	
	10	4	42	100	0.5	0.33	13961.573	00:04:21.00	2	00:00:00.00	00:00:31.33	
	10	3	42	200	0.5	0.33	14343.856	00:05:56.00	2	00:00:00.00	00:00:33.17	
	10	4	42	100	1.0	0.33	14409.902	00:00:00.00	0	00:00:00.00	00:00:30.59	
	10	4	42	500	0.0	0.0	14388.683	00:00:00.00	0	00:00:00.00	00:00:29.82	
	10	2	42	100	0.5	0.33	13814.495	00:24:39.00	8	00:00:00.00	00:00:31.79	
	10	4	42	400	1.0	0.66	14409.902	00:00:00.00	0	00:00:00.00	00:00:32.72	
	10	3	42	300	0.5	0.33	14343.856	00:05:56.00	2	00:00:00.00	00:00:34.47	
	10	3	42	500	0.5	1.0	14177.562	00:02:26.00	2	00:00:00.00	00:00:34.46	
	10	2	42	100	1.0	0.33	13563.662	00:08:07.00	6	00:00:00.00	00:00:30.02	
	10	3	42	100	0.5	0.66	13463.894	00:00:00.00	0	00:00:00.00	00:00:27.62	
	10	3	42	300	0.5	0.66	13463.894	00:00:00.00	0	00:00:00.00	00:00:27.60	
	10	4	42	500	0.5	1.0	13852.972	00:06:41.00	5	00:00:00.00	00:00:32.96	
	10	2	42	400	1.0	0.66	13563.662	00:08:07.00	6	00:00:00.00	00:00:27.56	
	10	4	42	300	0.5	1.0	13852.972	00:06:41.00	5	00:00:00.00	00:00:29.55	
	10	3	42	400	0.5	1.0	14177.562	00:02:26.00	2	00:00:00.00	00:00:27.50	
	10	3	42	200	0.5	1.0	14177.562	00:02:26.00	2	00:00:00.00	00:00:29.45	
	10	3	42	100	0.5	1.0	14177.562	00:02:26.00	2	00:00:00.00	00:00:28.88	
