#Algo	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0
"AVG ACO_{0,1}"	00:18:10.06	00:09:30.79	00:02:28.64	00:01:05.68	00:13:31.54	00:00:08.03	00:00:03.99	00:18:34.16	00:09:54.66	00:02:53.01	00:01:31.68	00:13:55.54	00:00:34.71	00:00:31.29	11483.50	11426.24	11343.34	11869.83	11193.99	12060.92	13070.63	00:34:49.50	00:18:18.00	00:03:11.00	00:20:51.00	00:56:20.50	00:03:58.00	00:00:00.00	8	4.5	1	7	8	1	0
"AVG ACO_{1,0}"	00:09:45.83	00:07:28.84	00:02:07.48	00:00:25.65	00:05:43.37	00:00:15.81	00:00:04.25	00:10:08.88	00:07:52.04	00:02:31.61	00:00:50.94	00:06:07.90	00:00:40.54	00:00:29.49	10394.30	10349.09	10516.61	11231.94	10347.75	10393.99	11755.07	00:02:17.00	00:02:19.00	00:02:19.00	00:02:17.00	00:02:19.00	00:02:19.00	00:02:19.00	2	2	2	2	2	2	2
"AVG ACO_{1,1}"	00:10:18.05	00:05:32.25	00:01:56.90	00:00:34.60	00:03:02.04	00:00:11.34	00:00:04.06	00:10:43.17	00:05:58.20	00:02:21.89	00:01:03.11	00:03:26.93	00:00:37.01	00:00:31.39	10956.33	10996.37	11232.10	12498.08	10948.43	10983.00	13064.39	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	0	0	0	0	0
"AVG ACO_{1,5}"	00:11:15.64	00:06:02.40	00:02:23.14	00:05:05.95	00:03:19.17	00:00:12.04	00:00:04.13	00:11:52.04	00:06:28.10	00:02:48.48	00:05:29.75	00:03:46.41	00:00:36.88	00:00:32.53	10999.26	10933.83	11022.22	11773.87	10950.95	10983.00	13064.39	00:00:00.00	00:00:00.00	00:00:00.00	00:05:38.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	0	2	0	0	0
"AVG ACO_{1,50}"	00:10:20.00	00:06:25.77	00:01:57.64	00:00:32.21	00:03:05.00	00:00:10.70	00:00:04.12	00:10:41.81	00:06:48.94	00:02:22.15	00:00:59.36	00:03:28.88	00:00:34.29	00:00:31.73	10956.33	10927.07	11232.10	12498.08	10950.95	10983.00	13064.39	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	0	0	0	0	0
"AVG ACO_{5,1}"	00:00:15.26	00:00:20.37	00:00:11.61	00:00:05.65	00:00:15.75	00:00:05.31	00:00:03.84	00:00:38.06	00:00:42.68	00:00:35.15	00:00:29.60	00:00:39.91	00:00:27.88	00:00:29.58	10354.42	10358.14	10626.29	11231.94	10607.90	10407.49	11755.07	00:02:19.50	00:02:19.00	00:02:19.00	00:02:17.00	00:02:54.00	00:02:19.00	00:02:19.00	2	2	2	2	3	2	2
"AVG ACO_{50,1}"	00:09:37.40	00:07:27.78	00:01:49.32	00:00:24.29	00:04:09.72	00:00:15.48	00:00:04.24	00:09:59.30	00:07:49.87	00:02:12.07	00:00:49.85	00:04:31.85	00:00:39.07	00:00:29.59	10346.97	10349.09	10599.98	11197.52	10456.66	10393.99	11755.07	00:02:17.00	00:02:19.00	00:02:19.00	00:02:19.00	00:02:36.50	00:02:19.00	00:02:19.00	2	2	2	2	2.5	2	2
"Greedy"	00:00:46.78	00:00:41.78	00:00:45.88	00:00:37.48	00:00:40.31	00:00:31.42	00:00:32.38	00:01:09.77	00:01:05.41	00:01:13.74	00:01:06.15	00:01:07.51	00:00:57.59	00:01:02.75	10990.078	11323.33	11919.551	12762.356	10900.423	11089.58	13049.241	00:00:00.00	00:00:00.00	00:03:20.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	2	0	0	0	0
"Linear"	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:28.78	00:00:26.58	00:00:32.62	00:00:30.50	00:00:32.87	00:00:28.89	00:00:31.00	13100.068	12761.651	13053.971	13052.308	13083.834	13083.834	13105.438	00:00:00.00	00:02:44.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	0	2	0	0	0	0	0
#"Branch & Bound"	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	0	0	0	0	0	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	0	0	0	0	0
