#Algo	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0
"AVG ACO_{0,1}"	00:04:45.21	00:06:48.30	00:06:07.38	00:02:17.81	00:04:34.93	00:01:11.54	00:00:03.25	00:05:11.69	00:07:14.76	00:06:34.82	00:02:44.31	00:05:01.81	00:01:37.34	00:00:32.64	12896.98	13238.78	12786.01	13258.73	12523.41	12837.25	14132.89	00:04:42.00	00:04:57.00	00:48:15.00	00:11:03.50	01:12:12.50	01:09:05.50	00:00:49.00	4	4	6	4	6	6	3
"AVG ACO_{1,0}"	00:18:13.36	00:06:25.04	00:04:06.26	00:03:07.77	00:04:56.63	00:02:47.68	00:00:02.99	00:18:41.39	00:06:53.68	00:04:33.09	00:03:36.33	00:05:23.56	00:03:12.57	00:00:28.28	12272.28	12362.31	12762.87	13270.09	12365.41	12323.04	13235.61	00:00:16.00	00:00:16.00	00:33:14.50	00:12:38.00	00:00:16.00	00:09:04.00	00:04:44.00	1	1	6	4.5	1	2	4
"AVG ACO_{1,1}"	00:14:59.80	00:03:54.23	00:01:44.13	00:00:49.91	00:05:44.55	00:00:27.39	00:00:51.01	00:15:26.15	00:04:20.36	00:02:11.07	00:01:16.41	00:06:11.23	00:00:56.43	00:01:19.40	13344.65	13262.66	13248.61	13176.78	13296.98	13667.29	14132.89	00:00:00.00	00:05:04.70	00:00:06.10	00:13:36.30	00:00:12.40	00:00:00.00	00:00:39.20	0	0.4	0.2	4	0.3	0	3
"AVG ACO_{1,5}"	00:11:55.76	00:04:46.96	00:02:39.35	00:01:06.28	00:03:15.35	00:00:22.92	00:00:03.36	00:12:23.63	00:05:15.11	00:03:08.15	00:01:35.73	00:03:39.84	00:00:50.80	00:00:33.04	12931.14	12940.47	12932.03	13458.47	12974.95	13236.22	14132.89	00:00:52.50	00:01:02.00	00:01:02.00	00:01:00.50	00:01:03.50	00:01:04.00	00:00:49.00	1.5	2	2	2	1.5	2	3
"AVG ACO_{1,50}"	00:11:58.39	00:02:54.81	00:01:31.43	00:00:48.73	00:05:06.70	00:00:23.20	00:00:43.62	00:12:24.45	00:03:21.18	00:01:58.34	00:01:14.43	00:05:32.83	00:00:50.29	00:01:11.64	13008.07	12877.58	12964.50	13175.83	13000.25	13198.09	14132.89	00:01:16.70	00:05:45.00	00:02:21.50	00:13:57.70	00:01:02.50	00:00:52.80	00:00:46.80	1.8	1.8	2.2	4	2	1.8	3
"AVG ACO_{5,1}"	00:00:22.67	00:00:15.27	00:00:13.65	00:00:08.82	00:00:18.87	00:00:06.90	00:00:05.84	00:00:49.13	00:00:41.00	00:00:40.76	00:00:35.66	00:00:45.13	00:00:35.34	00:00:33.16	12399.44	12547.40	12386.12	12552.43	12463.05	13022.73	13421.44	00:01:13.90	00:03:49.00	00:02:10.90	00:11:23.10	00:02:11.20	00:00:00.00	00:02:13.50	0.9	0.6	0.9	3.9	1.1	0	3.5
"AVG ACO_{50,1}"	00:15:36.37	00:05:36.46	00:03:53.10	00:01:11.23	00:07:51.23	00:02:17.83	00:01:21.25	00:16:01.89	00:06:02.44	00:04:19.30	00:01:35.88	00:08:16.50	00:02:45.03	00:01:49.13	12834.68	12749.59	12609.37	12619.73	12680.66	13065.12	13684.25	00:00:56.90	00:04:55.30	00:03:47.30	00:13:29.10	00:02:04.60	00:03:37.60	00:02:13.20	0.3	0.8	1	4.1	1	0.8	3.5
"Greedy"	00:00:55.91	00:00:44.76	00:00:41.34	00:00:35.10	00:00:41.68	00:00:33.62	00:00:29.37	00:01:23.01	00:01:12.31	00:01:07.24	00:01:02.01	00:01:11.32	00:01:04.33	00:00:57.65	12053.166	11952.2	12009.718	12297.007	13252.319	12942.247	13595.647	00:00:48.00	00:06:59.40	00:19:15.00	00:09:25.60	00:00:09.60	00:00:00.00	00:01:54.60	1	2	6	3	0	0	3
"Linear"	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:32.96	00:00:29.04	00:00:27.62	00:00:28.88	00:00:30.97	00:00:28.21	00:00:29.95	14106.123	14343.856	13463.894	14177.562	14092.349	14092.349	14146.602	00:00:00.00	00:05:56.00	00:00:00.00	00:02:26.00	00:00:00.00	00:00:00.00	00:00:47.00	0	2	0	2	0	0	3
