	Greedy			ACO			
FILE	DISTANCE	OVERSPENT TIME	TW OVERRUN	DISTANCE	OVERSPENT TIME	TW OVERRUN	
J=10 | M=3 | S=21 | TS=500 | DOD=1.0 | EDOD=1.0	8099.733	8311.859	2.618925833728102	-2.5520885279694974	
J=10 | M=3 | S=21 | TS=400 | DOD=1.0 | EDOD=1.0	8099.733	8311.859	2.618925833728102	-2.5520885279694974	
J=10 | M=3 | S=21 | TS=300 | DOD=1.0 | EDOD=1.0	8099.733	8311.859	2.618925833728102	-2.5520885279694974	
AVG	8099.733	8311.859	2.6189258337280927	-2.552088527969489	
					

OVERSPENT TIME
FILE	Greedy	ACO	Greedy->ACO	ACO->Greedy	
J=10 | M=3 | S=21 | TS=100 | DOD=0.75 | EDOD=0.5	00:05:47.00	00:04:11.00	-27.6657060518732	38.24701195219124	
J=10 | M=3 | S=21 | TS=200 | DOD=0.75 | EDOD=0.5	00:05:47.00	00:05:24.00	-6.628242074927954	7.098765432098765	
J=10 | M=3 | S=21 | TS=500 | DOD=0.75 | EDOD=0.5	00:05:47.00	00:05:24.00	-6.628242074927954	7.098765432098765	
J=10 | M=3 | S=21 | TS=400 | DOD=0.75 | EDOD=0.5	00:05:47.00	00:05:44.00	-0.8645533141210375	0.872093023255814	
J=10 | M=3 | S=21 | TS=300 | DOD=0.75 | EDOD=0.5	00:05:47.00	00:05:24.00	-6.628242074927954	7.098765432098765	
AVG	00:05:47.00	00:05:13.40	-9.68299711815562	10.721123165283982	
J=10 | M=2 | S=21 | TS=100 | DOD=1.0 | EDOD=0.5	00:19:21.00	00:18:01.00	-6.890611541774333	7.400555041628122	
J=10 | M=2 | S=21 | TS=200 | DOD=1.0 | EDOD=0.5	00:19:21.00	00:18:30.00	-4.3927648578811365	4.594594594594595	
J=10 | M=2 | S=21 | TS=500 | DOD=1.0 | EDOD=0.5	00:19:21.00	00:16:00.00	-17.31266149870801	20.9375	
J=10 | M=2 | S=21 | TS=400 | DOD=1.0 | EDOD=0.5	00:19:21.00	00:18:01.00	-6.890611541774333	7.400555041628122	
J=10 | M=2 | S=21 | TS=300 | DOD=1.0 | EDOD=0.5	00:19:21.00	00:18:30.00	-4.3927648578811365	4.594594594594595	
AVG	00:19:21.00	00:17:48.40	-7.97588285960379	8.667165855484837	
J=10 | M=3 | S=21 | TS=100 | DOD=0.75 | EDOD=1.0	00:05:10.00	00:03:48.00	-26.451612903225808	35.96491228070175	
J=10 | M=3 | S=21 | TS=200 | DOD=0.75 | EDOD=1.0	00:05:10.00	00:03:48.00	-26.451612903225808	35.96491228070175	
J=10 | M=3 | S=21 | TS=500 | DOD=0.75 | EDOD=1.0	00:05:10.00	00:03:48.00	-26.451612903225808	35.96491228070175	
J=10 | M=3 | S=21 | TS=400 | DOD=0.75 | EDOD=1.0	00:05:10.00	00:03:48.00	-26.451612903225808	35.96491228070175	
J=10 | M=3 | S=21 | TS=300 | DOD=0.75 | EDOD=1.0	00:05:10.00	00:03:48.00	-26.451612903225808	35.96491228070175	
AVG	00:05:10.00	00:03:48.00	-26.451612903225808	35.96491228070175	
J=10 | M=2 | S=21 | TS=100 | DOD=0.75 | EDOD=1.0	01:54:07.00	00:20:35.00	-81.96290346136993	454.41295546558706	
J=10 | M=2 | S=21 | TS=200 | DOD=0.75 | EDOD=1.0	01:54:07.00	00:20:07.00	-82.37184168248868	467.27423363711677	
J=10 | M=2 | S=21 | TS=500 | DOD=0.75 | EDOD=1.0	01:54:07.00	00:20:35.00	-81.96290346136993	454.41295546558706	
J=10 | M=2 | S=21 | TS=400 | DOD=0.75 | EDOD=1.0	01:54:07.00	00:20:35.00	-81.96290346136993	454.41295546558706	
J=10 | M=2 | S=21 | TS=300 | DOD=0.75 | EDOD=1.0	01:54:07.00	00:20:35.00	-81.96290346136993	454.41295546558706	
AVG	01:54:07.00	00:20:29.40	-82.0446911055937	456.93834390759724	
J=10 | M=2 | S=21 | TS=100 | DOD=0.0 | EDOD=0.0	00:18:31.00	00:30:52.00	66.6966696669667	-40.01079913606912	
J=10 | M=2 | S=21 | TS=200 | DOD=0.0 | EDOD=0.0	00:18:31.00	00:16:00.00	-13.591359135913592	15.729166666666666	
J=10 | M=2 | S=21 | TS=500 | DOD=0.0 | EDOD=0.0	00:18:31.00	00:30:52.00	66.6966696669667	-40.01079913606912	
J=10 | M=2 | S=21 | TS=400 | DOD=0.0 | EDOD=0.0	00:18:31.00	00:31:45.00	71.46714671467147	-41.67979002624672	
J=10 | M=2 | S=21 | TS=300 | DOD=0.0 | EDOD=0.0	00:18:31.00	00:18:30.00	-0.09000900090009001	0.09009009009009009	
AVG	00:18:31.00	00:25:35.80	38.235823582358236	-27.659851543169683	
