							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	21		0.5	0.33	00:05:41.00	
	10	4	21		0.5	1.0	00:10:03.00	
	10	4	21		1.0	1.0	00:00:06.00	
	10	4	21		0.0	0.0	00:00:00.00	
	10	4	21		1.0	0.66	00:00:00.00	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21	0	0.5	0.66	2	
	10	4	21	500	0.5	0.66	2	
	10	4	21	400	0.5	0.66	2	
	10	4	21	300	0.5	0.66	2	
	10	4	21	0	1.0	0.33	0	
	10	4	21	500	1.0	0.33	0	
	10	4	21	400	1.0	0.33	0	
	10	4	21	300	1.0	0.33	0	
	10	4	21	0	0.5	0.33	2	
	10	4	21	500	0.5	0.33	2	
	10	4	21	400	0.5	0.33	2	
	10	4	21	300	0.5	0.33	2	
	10	4	21	0	0.5	1.0	4	
	10	4	21	500	0.5	1.0	4	
	10	4	21	400	0.5	1.0	4	
	10	4	21	300	0.5	1.0	4	
	10	4	21	0	1.0	1.0	1	
	10	4	21	500	1.0	1.0	1	
	10	4	21	400	1.0	1.0	1	
	10	4	21	300	1.0	1.0	1	
	10	4	21	0	0.0	0.0	0	
	10	4	21	500	0.0	0.0	0	
	10	4	21	400	0.0	0.0	0	
	10	4	21	300	0.0	0.0	0	
	10	4	21	0	1.0	0.66	0	
	10	4	21	500	1.0	0.66	0	
	10	4	21	400	1.0	0.66	0	
	10	4	21	300	1.0	0.66	0	

AVG TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21		0.5	0.66	2.0	
	10	4	21		1.0	0.33	0.0	
	10	4	21		0.5	0.33	2.0	
	10	4	21		0.5	1.0	4.0	
	10	4	21		1.0	1.0	1.0	
	10	4	21		0.0	0.0	0.0	
	10	4	21		1.0	0.66	0.0	

MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21	0	0.5	0.66	00:00:00.00	
	10	4	21	500	0.5	0.66	00:00:00.00	
	10	4	21	400	0.5	0.66	00:00:00.00	
	10	4	21	300	0.5	0.66	00:00:00.00	
	10	4	21	0	1.0	0.33	00:00:00.00	
	10	4	21	500	1.0	0.33	00:00:00.00	
	10	4	21	400	1.0	0.33	00:00:00.00	
	10	4	21	300	1.0	0.33	00:00:00.00	
	10	4	21	0	0.5	0.33	00:00:00.00	
	10	4	21	500	0.5	0.33	00:00:00.00	
	10	4	21	400	0.5	0.33	00:00:00.00	
	10	4	21	300	0.5	0.33	00:00:00.00	
	10	4	21	0	0.5	1.0	00:00:00.00	
	10	4	21	500	0.5	1.0	00:00:00.00	
	10	4	21	400	0.5	1.0	00:00:00.00	
	10	4	21	300	0.5	1.0	00:00:00.00	
	10	4	21	0	1.0	1.0	00:00:00.00	
	10	4	21	500	1.0	1.0	00:00:00.00	
	10	4	21	400	1.0	1.0	00:00:00.00	
	10	4	21	300	1.0	1.0	00:00:00.00	
	10	4	21	0	0.0	0.0	00:00:00.00	
	10	4	21	500	0.0	0.0	00:00:00.00	
	10	4	21	400	0.0	0.0	00:00:00.00	
	10	4	21	300	0.0	0.0	00:00:00.00	
	10	4	21	0	1.0	0.66	00:00:00.00	
	10	4	21	500	1.0	0.66	00:00:00.00	
	10	4	21	400	1.0	0.66	00:00:00.00	
	10	4	21	300	1.0	0.66	00:00:00.00	

AVG MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21		0.5	0.66	00:00:00.00	
	10	4	21		1.0	0.33	00:00:00.00	
	10	4	21		0.5	0.33	00:00:00.00	
	10	4	21		0.5	1.0	00:00:00.00	
	10	4	21		1.0	1.0	00:00:00.00	
	10	4	21		0.0	0.0	00:00:00.00	
	10	4	21		1.0	0.66	00:00:00.00	

OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21	0	0.5	0.66	00:00:22.55	
	10	4	21	500	0.5	0.66	00:00:22.26	
	10	4	21	400	0.5	0.66	00:00:22.86	
	10	4	21	300	0.5	0.66	00:00:23.31	
	10	4	21	0	1.0	0.33	00:00:22.20	
	10	4	21	500	1.0	0.33	00:00:22.37	
	10	4	21	400	1.0	0.33	00:00:22.75	
	10	4	21	300	1.0	0.33	00:00:23.99	
