							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	21		1.0	0.66	00:00:00.00	
	10	2	21		0.5	0.66	00:23:13.00	
	10	4	21		0.0	0.0	00:00:00.00	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21	100	0.5	0.66	2	
	10	3	21	100	0.5	1.0	5	
	10	3	21	100	1.0	0.33	5	
	10	4	21	100	0.5	0.33	2	
	10	3	21	100	0.5	0.33	5	
	10	4	21	100	0.5	1.0	4	
	10	3	21	100	0.5	0.66	5	
	10	3	21	100	1.0	1.0	6	
	10	2	21	100	1.0	0.66	8	
	10	3	21	100	1.0	0.66	5	
	10	4	21	100	1.0	0.33	0	
	10	2	21	100	0.0	0.0	8	
	10	2	21	100	0.5	0.33	7	
	10	2	21	100	0.5	1.0	9	
	10	3	21	100	0.0	0.0	5	
	10	2	21	100	1.0	0.33	8	
	10	2	21	100	1.0	1.0	8	
	10	4	21	100	1.0	1.0	1	
	10	4	21	100	1.0	0.66	0	
	10	2	21	100	0.5	0.66	8	
	10	4	21	100	0.0	0.0	0	

AVG TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21		0.5	0.66	2.0	
	10	3	21		0.5	1.0	5.0	
	10	3	21		1.0	0.33	5.0	
	10	4	21		0.5	0.33	2.0	
	10	3	21		0.5	0.33	5.0	
	10	4	21		0.5	1.0	4.0	
	10	3	21		0.5	0.66	5.0	
	10	3	21		1.0	1.0	6.0	
	10	2	21		1.0	0.66	8.0	
	10	3	21		1.0	0.66	5.0	
	10	4	21		1.0	0.33	0.0	
	10	2	21		0.0	0.0	8.0	
	10	2	21		0.5	0.33	7.0	
	10	2	21		0.5	1.0	9.0	
	10	3	21		0.0	0.0	5.0	
	10	2	21		1.0	0.33	8.0	
	10	2	21		1.0	1.0	8.0	
	10	4	21		1.0	1.0	1.0	
	10	4	21		1.0	0.66	0.0	
	10	2	21		0.5	0.66	8.0	
	10	4	21		0.0	0.0	0.0	

MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21	100	0.5	0.66	00:00:00.00	
	10	3	21	100	0.5	1.0	00:00:00.00	
	10	3	21	100	1.0	0.33	00:00:00.00	
	10	4	21	100	0.5	0.33	00:00:00.00	
	10	3	21	100	0.5	0.33	00:00:00.00	
	10	4	21	100	0.5	1.0	00:00:00.00	
	10	3	21	100	0.5	0.66	00:00:00.00	
	10	3	21	100	1.0	1.0	00:00:00.00	
	10	2	21	100	1.0	0.66	00:00:00.00	
	10	3	21	100	1.0	0.66	00:00:00.00	
	10	4	21	100	1.0	0.33	00:00:00.00	
	10	2	21	100	0.0	0.0	00:00:00.00	
	10	2	21	100	0.5	0.33	00:00:00.00	
	10	2	21	100	0.5	1.0	00:00:00.00	
	10	3	21	100	0.0	0.0	00:00:00.00	
	10	2	21	100	1.0	0.33	00:00:00.00	
	10	2	21	100	1.0	1.0	00:00:00.00	
	10	4	21	100	1.0	1.0	00:00:00.00	
	10	4	21	100	1.0	0.66	00:00:00.00	
	10	2	21	100	0.5	0.66	00:00:00.00	
	10	4	21	100	0.0	0.0	00:00:00.00	

AVG MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21		0.5	0.66	00:00:00.00	
	10	3	21		0.5	1.0	00:00:00.00	
	10	3	21		1.0	0.33	00:00:00.00	
	10	4	21		0.5	0.33	00:00:00.00	
	10	3	21		0.5	0.33	00:00:00.00	
	10	4	21		0.5	1.0	00:00:00.00	
	10	3	21		0.5	0.66	00:00:00.00	
	10	3	21		1.0	1.0	00:00:00.00	
	10	2	21		1.0	0.66	00:00:00.00	
	10	3	21		1.0	0.66	00:00:00.00	
	10	4	21		1.0	0.33	00:00:00.00	
	10	2	21		0.0	0.0	00:00:00.00	
	10	2	21		0.5	0.33	00:00:00.00	
	10	2	21		0.5	1.0	00:00:00.00	
	10	3	21		0.0	0.0	00:00:00.00	
	10	2	21		1.0	0.33	00:00:00.00	
	10	2	21		1.0	1.0	00:00:00.00	
	10	4	21		1.0	1.0	00:00:00.00	
	10	4	21		1.0	0.66	00:00:00.00	
	10	2	21		0.5	0.66	00:00:00.00	
	10	4	21		0.0	0.0	00:00:00.00	

OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21	100	0.5	0.66	00:00:21.85	
	10	3	21	100	0.5	1.0	00:00:22.60	
	10	3	21	100	1.0	0.33	00:00:22.03	
	10	4	21	100	0.5	0.33	00:00:22.82	
	10	3	21	100	0.5	0.33	00:00:24.72	
	10	4	21	100	0.5	1.0	00:00:22.90	
	10	3	21	100	0.5	0.66	00:00:21.48	
	10	3	21	100	1.0	1.0	00:00:22.70	
	10	2	21	100	1.0	0.66	00:00:20.46	
	10	3	21	100	1.0	0.66	00:00:20.74	
	10	4	21	100	1.0	0.33	00:00:23.04	
	10	2	21	100	0.0	0.0	00:01:07.12	
	10	2	21	100	0.5	0.33	00:00:20.07	
