FILE	DISTANCE	OVERSPENT TIME	OVERRUN TW
xml/results/10missions/3vehicles/deploymentACO_1_100_0,75_0,5.d2cts	7448.976	00:04:11.00	4
AVERAGE	7448.976	00:05:11.00	4

xml/results/10missions/2vehicles/deploymentACO_1_300_0,75_1.d2cts	6288.631	00:33:00.00	10
AVERAGE	6288.631	00:34:00.00	10

xml/results/10missions/2vehicles/deploymentACO_1_200_0,75_0,5.d2cts	6820.828	00:18:01.00	8
AVERAGE	6820.828	00:19:01.00	8

xml/results/10missions/2vehicles/deploymentACO_1_500_1_0,5.d2cts	6864.964	00:18:01.00	8
AVERAGE	6864.964	00:19:01.00	8

xml/results/10missions/3vehicles/deploymentACO_1_400_0_0.d2cts	7458.199	00:04:11.00	4
AVERAGE	7458.199	00:05:11.00	4

xml/results/10missions/3vehicles/deploymentACO_1_200_0_0.d2cts	7458.199	00:04:11.00	4
AVERAGE	7458.199	00:05:11.00	4

xml/results/10missions/3vehicles/deploymentACO_1_400_0,75_1.d2cts	7163.858	00:10:01.00	5
AVERAGE	7163.858	00:11:01.00	5

xml/results/10missions/3vehicles/deploymentACO_1_100_0,75_1.d2cts	7163.858	00:10:01.00	5
AVERAGE	7163.858	00:11:01.00	5

xml/results/10missions/3vehicles/deploymentACO_1_400_1_1.d2cts	8311.859	00:07:04.00	4
AVERAGE	8311.859	00:08:04.00	4

xml/results/10missions/3vehicles/deploymentACO_1_300_0_0.d2cts	7440.927	00:04:15.00	4
AVERAGE	7440.927	00:05:15.00	4

xml/results/10missions/3vehicles/deploymentACO_1_400_0,75_0,5.d2cts	7448.976	00:04:11.00	4
AVERAGE	7448.976	00:05:11.00	4

xml/results/10missions/2vehicles/deploymentACO_1_100_0_0.d2cts	6820.828	00:18:01.00	8
AVERAGE	6820.828	00:19:01.00	8

xml/results/10missions/2vehicles/deploymentACO_1_200_0,75_1.d2cts	6288.631	00:33:00.00	10
AVERAGE	6288.631	00:34:00.00	10

xml/results/10missions/3vehicles/deploymentACO_1_300_1_1.d2cts	8311.859	00:07:04.00	4
AVERAGE	8311.859	00:08:04.00	4

xml/results/10missions/3vehicles/deploymentACO_1_500_0_0.d2cts	7440.927	00:04:15.00	4
AVERAGE	7440.927	00:05:15.00	4

xml/results/10missions/2vehicles/deploymentACO_1_100_1_1.d2cts	7298.471	00:35:20.00	9
AVERAGE	7298.471	00:36:20.00	9

xml/results/10missions/3vehicles/deploymentACO_1_200_1_0,5.d2cts	7493.113	00:04:11.00	4
AVERAGE	7493.113	00:05:11.00	4

xml/results/10missions/3vehicles/deploymentACO_1_300_0,75_1.d2cts	7163.858	00:10:01.00	5
AVERAGE	7163.858	00:11:01.00	5

xml/results/10missions/2vehicles/deploymentACO_1_400_0,75_1.d2cts	6154.144	00:31:13.00	8
AVERAGE	6154.144	00:32:13.00	8

xml/results/10missions/2vehicles/deploymentACO_1_300_0,75_0,5.d2cts	6820.828	00:18:01.00	8
AVERAGE	6820.828	00:19:01.00	8

xml/results/10missions/3vehicles/deploymentACO_1_400_1_0,5.d2cts	7493.113	00:04:11.00	4
AVERAGE	7493.113	00:05:11.00	4

xml/results/10missions/3vehicles/deploymentACO_1_300_0,75_0,5.d2cts	7448.976	00:04:11.00	4
AVERAGE	7448.976	00:05:11.00	4

