#Algo	Distance M=2	Distance M=3	Distance M=4	O_T M=2	O_T M=3	O_T M=4
"AVG ACO_{0,1}"	6937.9255	7083.2195	7537.865	00:16:16.50	00:08:12.00	00:05:59.50
"AVG ACO_{1,0}"	6334.82	6601.74	6591.357	00:18:06.00	00:15:49.00	00:15:42.00
"AVG ACO_{1,1}"	6780.1024	7523.4336	7912.079	00:20:18.10	00:05:13.00	00:00:24.80
"AVG ACO_{1,5}"	6638.1455	7467.3955	7964.227	00:23:26.00	00:05:29.00	00:00:54.50
"AVG ACO_{1,50}"	6783.6327	7568.9335	7978.9111	00:21:53.50	00:06:12.00	00:01:22.90
"AVG ACO_{5,1}"	6436.3457	6931.5813	7025.5483	00:19:47.20	00:04:11.80	00:07:43.30
"AVG ACO_{50,1}"	6438.8875	6645.8151	6637.7123	00:18:37.20	00:14:51.80	00:15:44.10
"Greedy"	6656.982	6995.917	7808.504	00:18:31.00	00:04:03.00	00:00:00.00
"Linear"	8104.402	8434.917	8993.754	00:24:58.00	00:04:10.00	00:00:00.00
"Branch & Bound"	6451.379	6651.807	7122.802	00:13:36.00	00:02:53.00	00:00:00.00
